Depth	Taxa_id	Taxonomic_Tree	MetaPhlAn_mean	Kraken_mean	Metaphlan/Kraken
Kingdom	2	Bacteria	0.9991108264953432	0.9999999999999996	99.91
Phylum	976	Bacteria|Bacteroidota	0.24210592823909322	0.35170260075561055	68.84
Phylum	1239	Bacteria|Firmicutes	0.603953353093889	0.521321905664875	115.85
Phylum	1224	Bacteria|Proteobacteria	0.015284049955561164	0.005925517544166276	257.94
Phylum	1239	Bacteria|Bacillota	0.01717443881438525	0.521321905664875	3.29
Phylum	201174	Bacteria|Actinobacteria	0.10921221735184718	0.11462723104103019	95.28
Phylum	74201	Bacteria|Verrucomicrobia	0.004460405617954206	0.003975870887715888	112.19
Class	200643	Bacteria|Bacteroidota|Bacteroidia	0.2296286228300909	0.3516921478938255	65.29
Class	28216	Bacteria|Proteobacteria|Betaproteobacteria	0.007504922239384022	0.003948066268670478	190.09
Class	186801	Bacteria|Bacillota|Clostridia	0.01717443881438525	0.49247896106669614	3.49
Class	909932	Bacteria|Firmicutes|Negativicutes	0.02088654970705531	0.018407253983947543	113.47
Class	1760	Bacteria|Actinobacteria|Actinomycetia	0.08760623954048444	0.08590307929019426	101.98
Class	84998	Bacteria|Actinobacteria|Coriobacteriia	0.017651088982108872	0.028724151750835855	61.45
Class	1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.0010477444450162163	0.001957639820506625	53.52
Class	91061	Bacteria|Firmicutes|Bacilli	0.004276011152201951	0.0052800112547741985	80.98
Order	171549	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.2296286228300909	0.3516921478938255	65.29
Order	80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.007492200016427427	0.003948066268670478	189.77
Order	186802	Bacteria|Bacillota|Clostridia|Eubacteriales	0.01717443881438525	0.49247896106669614	3.49
Order	1843489	Bacteria|Firmicutes|Negativicutes|Veillonellales	0.015206460855898813	0.011887787167472979	127.92
Order	85004	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales	0.08738904509884067	0.08452041247888983	103.39
Order	84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.009836622157382255	0.0186532107740502	52.73
Order	135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.0001756499987385244	0.0005504349500593882	31.91
Order	1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.007814466824726552	0.010070940976785648	77.59
Order	1843488	Bacteria|Firmicutes|Negativicutes|Acidaminococcales	0.00561734996138533	0.006504011913234065	86.37
Order	186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.004274200041021988	0.005238945943967559	81.59
Order	213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.003198188880895691	0.0022935855109165386	139.44
Family	815	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	0.12398096769844286	0.23232527613677575	53.37
Family	186803	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae	0.23028975208317032	0.2534172702174024	90.87
Family	171550	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae	0.057274550050954644	0.049283329731102686	116.21
Family	2005519	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae	0.009970727791601516	0.002371224344898464	420.49
Family	31979	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae	0.020140866675269632	0.003078186816477715	654.31
