Depth	Taxa_id	Taxonomic_Tree	metaphlan_mean
Kingdom	2157	Archaea	0.0002478999949248357
Phylum	256845	Bacteria|Lentisphaerae	0.001055899978382953
Phylum	28890	Archaea|Euryarchaeota	0.0002478999949248357
Phylum	95818	Bacteria|Candidatus_Saccharibacteria	1.2399999746139421e-05
Class	1313211	Bacteria|Lentisphaerae|Lentisphaeria	0.0002518999948429452
Class	183925	Archaea|Euryarchaeota|Methanobacteria	0.0002478999949248357
Class	28221	Bacteria|Proteobacteria|Deltaproteobacteria	8.04999983519535e-05
Order	2508939	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales	0.0011779999758832452
Order	278082	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales	0.0002518999948429452
Order	2158	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0.0002478999949248357
Family	538999	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis	0.021521699559394255
Family	2508947	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales|Candidatus_Borkfalkiaceae	0.0011779999758832452
Family	255528	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0.0002518999948429452
Family	2159	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0.0002478999949248357
Family	171551	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae	3.369999931007246e-05
Genus	2527773	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis|Candidatus_Cibionibacter	0.021521699559394255
Genus	2981631	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Brotolimicola	0.00660039986487247
Genus	2494213	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Mesosutterella	0.005512499887144642
Genus	1407607	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Fusicatenibacter	0.004834199901031225
Genus	2719231	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lacrimispora	0.0036738999247856144
Genus	2005359	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Faecalicatena	0.003632899925624992
Genus	204475	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Gemmiger	0.002317599952552639
Genus	84108	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Slackia	0.0008916999817445582
Genus	2508948	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales|Candidatus_Borkfalkiaceae|Candidatus_Borkfalkia	0.0008288999830302394
Genus	1505657	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae|Intestinibacter	0.0006823999860294791
Genus	2815777	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Oliverpabstia	0.000596799987781936
Genus	596767	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Hydrogenoanaerobacterium	0.00037539999231457567
Genus	172900	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae|Victivallis	0.0002518999948429452
Genus	2172	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0.0002478999949248357
Genus	2039240	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerotignum	0.0001949999960078377
Genus	209879	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Allisonella	0.00017689999637839223
Genus	577310	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.00014149999710312322
Genus	1473205	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalimassilia	0.00011909999756171008
Genus	1573534	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea	4.619999905416462e-05
Genus	1505663	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium	4.079999916471681e-05
Genus	35832	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	3.479999928755257e-05
Genus	1635148	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|Sanguibacteroides	3.369999931007246e-05
Genus	2678884	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerosacchariphilus	1.7299999645823548e-05
Genus	1980681	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Colidextribacter	1.4599999701099641e-05
Genus	1017280	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Pseudoflavonifractor	6.099999875116973e-06
Genus	2983250	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Youxingia	2.9999999385821175e-06
Species	28117	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_putredinis	0.07967069836893145
Species	204516	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola_massiliensis	0.044722199084419066
Species	487174	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|Barnesiella_intestinihominis	0.03064589937259791
Species	28052	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnospira|Lachnospira_pectinoschiza	0.029881699388243095
Species	2500537	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis|Candidatus_Cibionibacter|Candidatus_Cibionibacter_quicibialis	0.021521699559394255
Species	301302	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Roseburia|Roseburia_faecis	0.018838699614322316
Species	2981769	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Brotolimicola|Brotolimicola_acetigignens	0.00660039986487247
Species	1776391	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae|Romboutsia|Romboutsia_timonensis	0.005576599885832347
Species	2259133	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Mesosutterella|Mesosutterella_multiformis	0.005512499887144642
Species	1898204	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridiaceae_unclassified|Clostridiaceae_bacterium	0.005239999892723433
Species	2293035	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_sp_AM49_4BH	0.004793999901854224
Species	1150298	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Fusicatenibacter|Fusicatenibacter_saccharivorans	0.00392619991962037
