Depth	Taxa_id	Taxonomic_Tree	kraken_mean
Phylum	29547	Bacteria|Campylobacterota	3.982920685677E-05
Phylum	29547	Bacteria|Campylobacterota	1.85746056056257E-05
Phylum	29547	Bacteria|Campylobacterota	0.00140020373918624
Phylum	29547	Bacteria|Campylobacterota	2.19750302350944E-05
Phylum	29547	Bacteria|Campylobacterota	4.39420023823094E-05
Phylum	29547	Bacteria|Campylobacterota	6.81816033189181E-05
Phylum	29547	Bacteria|Campylobacterota	6.0184405016972E-06
Phylum	29547	Bacteria|Campylobacterota	7.70193348975578E-05
Phylum	29547	Bacteria|Campylobacterota	4.1315163856316E-05
Phylum	29547	Bacteria|Campylobacterota	7.88955178185527E-06
Phylum	29547	Bacteria|Campylobacterota	2.4222939842231E-05
Phylum	29547	Bacteria|Campylobacterota	3.50700583889613E-05
Phylum	29547	Bacteria|Campylobacterota	3.1691453636082E-05
Phylum	29547	Bacteria|Campylobacterota	8.08375430124863E-05
Phylum	29547	Bacteria|Campylobacterota	0.000438416886974305
Phylum	29547	Bacteria|Campylobacterota	2.59668036054907E-05
Phylum	29547	Bacteria|Campylobacterota	1.70790109203196E-05
Phylum	29547	Bacteria|Campylobacterota	5.43536126460806E-06
Phylum	29547	Bacteria|Campylobacterota	0.000798755296097588
Phylum	29547	Bacteria|Campylobacterota	7.3183911891099E-05
Phylum	29547	Bacteria|Campylobacterota	9.96713971561133E-05
Phylum	29547	Bacteria|Campylobacterota	7.69629766966643E-05
Phylum	29547	Bacteria|Campylobacterota	7.11733270145306E-06
Phylum	29547	Bacteria|Campylobacterota	7.53418062108844E-05
Phylum	29547	Bacteria|Campylobacterota	3.66164723034521E-05
Phylum	29547	Bacteria|Campylobacterota	2.73612046626494E-06
Phylum	29547	Bacteria|Campylobacterota	1.50225224715669E-05
Phylum	29547	Bacteria|Campylobacterota	4.06852731516773E-05
Phylum	29547	Bacteria|Campylobacterota	3.35715661862175E-05
Phylum	29547	Bacteria|Campylobacterota	0.000139863487301228
Phylum	29547	Bacteria|Campylobacterota	2.35169917655319E-05
Phylum	29547	Bacteria|Campylobacterota	0.000165111115979153
Phylum	29547	Bacteria|Campylobacterota	1.87566741539934E-05
Phylum	29547	Bacteria|Campylobacterota	1.31362259192419E-05
Phylum	29547	Bacteria|Campylobacterota	3.24731817968399E-05
Phylum	29547	Bacteria|Campylobacterota	3.36519754761229E-05
Phylum	29547	Bacteria|Campylobacterota	6.50601722363499E-06
Phylum	29547	Bacteria|Campylobacterota	3.18398948223469E-05
Phylum	29547	Bacteria|Campylobacterota	5.26225730498873E-06
Phylum	29547	Bacteria|Campylobacterota	2.75480204224925E-05
Phylum	29547	Bacteria|Campylobacterota	0.000201266601220198
Phylum	29547	Bacteria|Campylobacterota	2.77247447732137E-05
Phylum	29547	Bacteria|Campylobacterota	1.75925468173301E-05
Phylum	29547	Bacteria|Campylobacterota	3.47824311068535E-05
Phylum	29547	Bacteria|Campylobacterota	3.29169160896502E-05
Phylum	29547	Bacteria|Campylobacterota	2.39564006796235E-05
Phylum	29547	Bacteria|Campylobacterota	4.41292255022909E-05
Phylum	29547	Bacteria|Campylobacterota	1.45265541278684E-05
Phylum	29547	Bacteria|Campylobacterota	3.80513707935747E-05
Phylum	29547	Bacteria|Campylobacterota	1.74240357049996E-05
Phylum	29547	Bacteria|Campylobacterota	7.99007925889145E-05
Phylum	29547	Bacteria|Campylobacterota	1.03443990213745E-05
Phylum	29547	Bacteria|Campylobacterota	4.30003584615035E-05
Phylum	29547	Bacteria|Campylobacterota	1.31783577873173E-05
Phylum	29547	Bacteria|Campylobacterota	1.66292122524544E-05
Phylum	29547	Bacteria|Campylobacterota	2.90426722046525E-06
Phylum	29547	Bacteria|Campylobacterota	2.37548361706871E-05
Phylum	29547	Bacteria|Campylobacterota	0.000104725520026863
Phylum	508458	Bacteria|Synergistota	4.94616062117662E-05
Phylum	508458	Bacteria|Synergistota	3.48622302166547E-05
Phylum	508458	Bacteria|Synergistota	4.65031933783068E-05
Phylum	508458	Bacteria|Synergistota	2.71287766031566E-05
Phylum	508458	Bacteria|Synergistota	1.66180819822982E-05
Phylum	508458	Bacteria|Synergistota	2.18944787177246E-05
Phylum	508458	Bacteria|Synergistota	3.83685588468367E-05
Phylum	508458	Bacteria|Synergistota	1.77382540061847E-05
Phylum	508458	Bacteria|Synergistota	7.83491315651675E-06
Phylum	508458	Bacteria|Synergistota	0.000113421326693402
Phylum	508458	Bacteria|Synergistota	1.64225519912887E-05
Phylum	508458	Bacteria|Synergistota	1.03033941421073E-05
Phylum	508458	Bacteria|Synergistota	3.32699671195349E-05
Phylum	508458	Bacteria|Synergistota	4.16107101257217E-05
Phylum	508458	Bacteria|Synergistota	3.15324196587856E-05
Phylum	508458	Bacteria|Synergistota	4.99215151437174E-06
Phylum	508458	Bacteria|Synergistota	1.89959792457198E-05
Phylum	508458	Bacteria|Synergistota	1.45188920980352E-05
Phylum	508458	Bacteria|Synergistota	0.000100039488541524
Phylum	508458	Bacteria|Synergistota	0.000153178615135574
Phylum	508458	Bacteria|Synergistota	1.56560023348258E-05
Phylum	508458	Bacteria|Synergistota	7.56612909569976E-06
Phylum	508458	Bacteria|Synergistota	8.83823697429344E-06
Phylum	508458	Bacteria|Synergistota	1.33247567281422E-05
