Depth	Taxaid	Taxonomic Tree	MetaPhlAn Average	Kraken Average
Kingdom	2157	Archaea	0.001106799987973869	0	0.001106799987973869
Kingdom	2759	Eukaryota	0.00028039998738032585	0	0.00028039998738032585
Kingdom	2	Bacteria	0.9988931891463494	1.0	-0.0011068108536506083
Phylum	201174	Bacteria|Actinobacteria	0.010372599887294682	0.01058816693503113	-0.00021556704773644832
Phylum	544448	Bacteria|Tenericutes	0.012867599860184816	0	0.012867599860184816
Phylum	976	Bacteria|Bacteroidota	0.25417909723817206	0.6887275100669638	-0.4345484128287917
Phylum	508458	Bacteria|Synergistetes	0.0011918000078793916	4.707402199961881e-06	0.0011870926056794296
Phylum	95818	Bacteria|Candidatus_Saccharibacteria	2.079999977399392e-05	0	2.079999977399392e-05
Phylum	2283796	Archaea|Candidatus_Thermoplasmatota	0.004484800101624825	0	0.004484800101624825
Phylum	1798710	Bacteria|Candidatus_Melainabacteria	0.016851799816893786	0	0.016851799816893786
Phylum	74201	Bacteria|Verrucomicrobia	0.0071890999218855636	6.953343490546104e-05	0.007119566486980103
Phylum	28890	Archaea|Euryarchaeota	0.001106799987973869	0	0.001106799987973869
Phylum	203691	Bacteria|Spirochaetes	0.00997499976296378	1.550873062099e-05	0.00995949103234279
Phylum	1239	Bacteria|Firmicutes	0.0061171999335324825	0.28530058932421853	-0.27918338939068604
Phylum	32066	Bacteria|Fusobacteria	1.629999974288446e-05	0	1.629999974288446e-05
Phylum	1224	Bacteria|Proteobacteria	0.09149079900589054	0.014750843298492602	0.07673995570739793
Phylum	29547	Bacteria|Campylobacterota	0	0.00010472552002686282	-0.00010472552002686282
Phylum	4890	Eukaryota|Ascomycota	9.580000200405154e-05	0	9.580000200405154e-05
Phylum	200940	Bacteria|Thermodesulfobacteriota	0	0.00045392401816138453	-0.00045392401816138453
Phylum	256845	Bacteria|Lentisphaerae	0.009064199901511333	0	0.009064199901511333
Class	91061	Bacteria|Firmicutes|Bacilli	7.339999920245933e-05	0.0018260466859165389	-0.0017526466867140795
Class	200643	Bacteria|Bacteroidota|Bacteroidia	0.24376479735133047	0.6887236250422566	-0.4449588276909261
Class	4891	Eukaryota|Ascomycota|Saccharomycetes	9.580000200405154e-05	0	9.580000200405154e-05
Class	3031449	Bacteria|Thermodesulfobacteriota|Desulfovibrionia	0	0.00045392401816138453	-0.00045392401816138453
Class	1760	Bacteria|Actinobacteria|Actinomycetia	0.007639399916992749	0.006371383804114672	0.001268016112878077
Class	203490	Bacteria|Fusobacteria|Fusobacteriia	1.629999974288446e-05	0	1.629999974288446e-05
Class	526524	Bacteria|Bacillota|Erysipelotrichia	0.0001360000061042531	0.0038444446316062185	-0.0037084446255019653
Class	203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.002769300038536868	6.953343490546104e-05	0.0026997666036314067
Class	29547	Bacteria|Proteobacteria|Epsilonproteobacteria	3.3999999463685378e-06	0	3.3999999463685378e-06
Class	1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.00018349999800614834	0.013909579481239174	-0.013726079483233025
Class	3031852	Bacteria|Campylobacterota|Epsilonproteobacteria	0	0.00010472552002686282	-0.00010472552002686282
Class	28216	Bacteria|Proteobacteria|Betaproteobacteria	0.027597799700131227	0.0008412638172534289	0.026756535882877797
Class	2093818	Bacteria|Candidatus_Saccharibacteria|Candidatus_Saccharimonadia	2.240000046858825e-05	0	2.240000046858825e-05
Class	1313211	Bacteria|Lentisphaerae|Lentisphaeria	0.00562039993893055	0	0.00562039993893055
Class	414999	Bacteria|Verrucomicrobia|Opitutae	0.006660599927628074	0	0.006660599927628074
Class	28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.002931999968141836	0	0.002931999968141836
Class	84998	Bacteria|Actinobacteria|Coriobacteriia	0.002252199975528323	0.0042167831309164565	-0.0019645831553881336
Class	183967	Archaea|Candidatus_Thermoplasmatota|Thermoplasmata	0.004484800101624825	0	0.004484800101624825
Class	203692	Bacteria|Spirochaetes|Spirochaetia	0.00997499976296378	1.550873062099e-05	0.00995949103234279
Class	2171981	Bacteria|Candidatus_Saccharibacteria|Candidatus_Nanoperiomorbia	1.0200000231130311e-05	0	1.0200000231130311e-05
Class	768503	Bacteria|Bacteroidota|Cytophagia	0	3.885024707197456e-06	-3.885024707197456e-06
Class	649775	Bacteria|Synergistetes|Synergistia	0.0011918000078793916	4.707402199961881e-06	0.0011870926056794296
Class	2008785	Bacteria|Proteobacteria|Hydrogenophilalia	0.00040080002756412664	3.0702253473489767e-06	0.00039772980221677764
Class	183925	Archaea|Euryarchaeota|Methanobacteria	0.001106799987973869	0	0.001106799987973869
Class	909932	Bacteria|Firmicutes|Negativicutes	0.002663299971061443	0.014869804456497663	-0.012206504485436219
Class	28211	Bacteria|Pseudomonadota|Alphaproteobacteria	0	7.262625071292878e-06	-7.262625071292878e-06
Class	117743	Bacteria|Bacteroidota|Flavobacteriia	0	1.3617422008674147e-05	-1.3617422008674147e-05
Class	2171982	Bacteria|Candidatus_Saccharibacteria|Candidatus_Nanosyncoccalia	5.120000388127649e-05	0	5.120000388127649e-05
Class	186801	Bacteria|Bacillota|Clostridia	0.0061171999335324825	0.2647602935501982	-0.2586430936166657
Class	2683628	Eukaryota|Eukaryota_unclassified|Bigyra	0.00028039998738032585	0	0.00028039998738032585
Class	1737404	Bacteria|Firmicutes|Tissierellia	3.760000106761325e-05	0	3.760000106761325e-05
Order	80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.027597799700131227	0.0008412638172534289	0.026756535882877797
Order	415001	Bacteria|Verrucomicrobia|Opitutae|Puniceicoccales	0.006660599927628074	0	0.006660599927628074
Order	84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.0019400999789195004	0.0039886726291303515	-0.002048572650210851
Order	1737405	Bacteria|Firmicutes|Tissierellia|Tissierellales	3.760000106761325e-05	0	3.760000106761325e-05
Order	2790996	Bacteria|Tenericutes|Tenericutes_unclassified|Mycoplasmoidales	2.9700000672997082e-05	0	2.9700000672997082e-05
Order	85006	Bacteria|Actinobacteria|Actinomycetia|Micrococcales	0.00552039988134776	2.2119118770905226e-06	0.0055181879694706695
Order	2171983	Bacteria|Candidatus_Saccharibacteria|Candidatus_Nanoperiomorbia|Candidatus_Nanoperiomorbales	1.0200000231130311e-05	0	1.0200000231130311e-05
Order	203491	Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	1.629999974288446e-05	0	1.629999974288446e-05
Order	1235850	Archaea|Candidatus_Thermoplasmatota|Thermoplasmata|Methanomassiliicoccales	0.004484800101624825	0	0.004484800101624825
Order	909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.006378399899387377	6.210367962600314e-06	0.006372189531424777
Order	85011	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales	0	4.065974108651347e-06	-4.065974108651347e-06
Order	1385	Bacteria|Firmicutes|Bacilli|Bacillales	3.589999922838646e-05	2.4501177715464247e-05	1.1398821512922211e-05
Order	85007	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales	5.800000164685022e-06	2.7053383727491775e-05	-2.125338356280675e-05
Order	1643686	Bacteria|Spirochaetes|Spirochaetia|Brachyspirales	0.00997499976296378	1.550873062099e-05	0.00995949103234279
Order	213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.002931999968141836	0.00045392401816138453	0.0024780759499804517
Order	72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	5.300000237886333e-05	2.9775736806987805e-06	5.002242869816455e-05
Order	186802	Bacteria|Bacillota|Clostridia|Eubacteriales	0.0061171999335324825	0.2647602935501982	-0.2586430936166657
Order	1906119	Bacteria|Candidatus_Melainabacteria|Candidatus_Melainabacteria_unclassified|Candidatus_Gastranaerophilales	0.002440499973482316	0	0.002440499973482316
Order	135624	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	5.4000000357012215e-05	0	5.4000000357012215e-05
Order	204455	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales	0	2.378456709294148e-06	-2.378456709294148e-06
Order	135614	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0.0008740000601074021	0	0.0008740000601074021
Order	204458	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales	0	1.7978797079070583e-06	-1.7978797079070583e-06
Order	1643682	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales	0	3.7826172246317072e-06	-3.7826172246317072e-06
Order	135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.0008971999858476035	0.005524164839499846	-0.0046269648536522425
Order	200644	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales	0	1.3617422008674147e-05	-1.3617422008674147e-05
Order	1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.0003120999966088223	0.00022811050178610467	8.398949482271763e-05
Order	2093825	Bacteria|Candidatus_Saccharibacteria|Candidatus_Saccharimonadia|Candidatus_Saccharimonadales	2.240000046858825e-05	0	2.240000046858825e-05
Order	119069	Bacteria|Proteobacteria|Hydrogenophilalia|Hydrogenophilales	0.00040080002756412664	3.0702253473489767e-06	0.00039772980221677764
Order	2158	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0.001106799987973869	0	0.001106799987973869
Order	206351	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.00022900001321871663	0	0.00022900001321871663
Order	2887326	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales	0	2.033257456248596e-05	-2.033257456248596e-05
Order	48461	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0.002769300038536868	6.953343490546104e-05	0.0026997666036314067
Order	1843489	Bacteria|Firmicutes|Negativicutes|Veillonellales	0.01300669979483284	0.014717636262491665	-0.0017109364676588246
Order	91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.00018349999800614834	0.008362104493496144	-0.008178604495489995
Order	356	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales	0	7.262625071292878e-06	-7.262625071292878e-06
Order	85004	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales	0.007639399916992749	0.006291443040249055	0.0013479568767436941
Order	85009	Bacteria|Actinobacteria|Actinomycetia|Propionibacteriales	7.00000014643383e-06	6.583005699721229e-06	4.1699444671260115e-07
Order	278082	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales	0.00562039993893055	0	0.00562039993893055
Order	213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	3.3999999463685378e-06	0.00010472552002686282	-0.00010132552008049429
Order	1843488	Bacteria|Firmicutes|Negativicutes|Acidaminococcales	0.002663299971061443	0.0001459578260433964	0.0025173421450180467
Order	649776	Bacteria|Synergistetes|Synergistia|Synergistales	0.0011918000078793916	4.707402199961881e-06	0.0011870926056794296
