#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/5b97a676-8d57-4cc3-8523-66b6a824aad1/56d9930b-f20c-496e-ab4b-4ab6dda0f022/HV04_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/5b97a676-8d57-4cc3-8523-66b6a824aad1/28f55c11-0963-4496-b38b-dbbfaa9ebf59/HV04_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/5b97a676-8d57-4cc3-8523-66b6a824aad1/841053e7-2ddd-4158-8906-74e1e8e46830/metaphlan --bowtie2out HV04.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV04_output.txt --vsc_out HV04_virus.vsc.txt --offline
#91161452 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.99827	
k__Bacteria	2	83.82489350139919	
k__Archaea	2157	0.17684045031514903	
k__Bacteria|p__Firmicutes	2|1239	66.043230054859	
k__Bacteria|p__Bacteroidota	2|976	11.621891897421534	
k__Bacteria|p__Actinobacteria	2|201174	4.598481721198512	
k__Bacteria|p__Bacillota	2|1239	1.0367746009522438	
k__Bacteria|p__Proteobacteria	2|1224	0.2811286030162024	
k__Archaea|p__Euryarchaeota	2157|28890	0.17684045031514903	
k__Bacteria|p__Verrucomicrobia	2|74201	0.17269916483132952	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.06723498785495216	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0034524712654154595	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	11.533345669663031	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.310266088180419	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.236772971146064	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.0241981832078557	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.1117545486775442	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.0367746009522438	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.4359269983424216	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.35686456634706804	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.33126923801198066	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.2640258499836333	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.21296119591438623	
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.20779508927635576	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.1964296546726888	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.17684045031514903	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.17269916483132952	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.11295713164487028	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.06926782981658365	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.06723498785495216	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0666637760640805	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.06523574658690136	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0627828959555113	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.04974582684620524	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.04721737465425863	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.04489892679719131	
k__Bacteria|p__Firmicutes|c__CFGB24517	2|1239|	0.03397870138346845	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.03226506601085348	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.029963418500576506	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.029299804802357964	
k__Bacteria|p__Firmicutes|c__CFGB10299	2|1239|	0.029190602548220736	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.027888575671969163	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.02394049417623859	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.0224368631385029	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.021126436088856157	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.02004281372087904	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.015389117659954066	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.015145512631494096	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.01428869494518661	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.013364675871717753	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.012289453677135808	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.011928246221143437	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.011785443273425523	
k__Bacteria|p__Proteobacteria|c__CFGB2874	2|1224|	0.011348634256876607	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.007921363511646662	
k__Bacteria|p__Firmicutes|c__CFGB3022	2|1239|	0.006703338369346804	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.0055861153077890035	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.00492250160957046	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.004670496407715317	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.004468892246231203	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.004300888778327775	
k__Bacteria|p__Firmicutes|c__CFGB30328	2|1239|	0.0035784738663430307	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.003544873172762345	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.0034524712654154595	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.0033852698782540877	
k__Bacteria|p__Firmicutes|c__CFGB2999	2|1239|	0.00234364837725283	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.002016041614841144	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.0017892369331715154	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.000772815952355772	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.0005628116174764862	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.0005292109238958004	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.000504010403710286	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.00044520918994408597	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00031080641562134307	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	5.04010403710286e-05	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	11.533345669663031	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	2.236772971146064	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.0177972510807347	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.459404124810109	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.1117545486775442	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.0367746009522438	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.8508619633703097	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.4359269983424216	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.35686456634706804	
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.33126923801198066	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.2640258499836333	
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212	2|1239||	0.20779508927635576	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.1964296546726888	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.19506882658267105	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.17684045031514903	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.17269916483132952	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.11295713164487028	
k__Bacteria|p__Firmicutes|c__CFGB79245|o__OFGB79245	2|1239||	0.06926782981658365	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.06723498785495216	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.06643697138241086	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	2|976||	0.06523574658690136	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.0627828959555113	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.04974582684620524	
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	2|1239||	0.04721737465425863	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	2|1239||	0.04489892679719131	
k__Bacteria|p__Firmicutes|c__CFGB24517|o__OFGB24517	2|1239||	0.03397870138346845	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	0.03226506601085348	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.029963418500576506	
k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055	2|1224||	0.029299804802357964	
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299	2|1239||	0.029190602548220736	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	0.027888575671969163	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.02394049417623859	
k__Bacteria|p__Firmicutes|c__CFGB77202|o__OFGB77202	2|1239||	0.0224368631385029	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.021126436088856157	
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291	2|1239||	0.02004281372087904	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.017892369331715154	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	0.015389117659954066	
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	2|1239||	0.015145512631494096	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.01428869494518661	
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.013364675871717753	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.01317987205702398	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.012289453677135808	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.011928246221143437	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.011785443273425523	
k__Bacteria|p__Proteobacteria|c__CFGB2874|o__OFGB2874	2|1224||	0.011348634256876607	
k__Bacteria|p__Bacteroidota|c__CFGB667|o__OFGB667	2|976||	0.007921363511646662	
k__Bacteria|p__Firmicutes|c__CFGB3022|o__OFGB3022	2|1239||	0.006703338369346804	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.0055861153077890035	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.0055861153077890035	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.00492250160957046	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.004670496407715317	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.004468892246231203	
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	2|1239||	0.004300888778327775	
k__Bacteria|p__Firmicutes|c__CFGB30328|o__OFGB30328	2|1239||	0.0035784738663430307	
k__Bacteria|p__Firmicutes|c__CFGB2952|o__OFGB2952	2|1239||	0.003544873172762345	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.0034524712654154595	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.0033852698782540877	
k__Bacteria|p__Firmicutes|c__CFGB2999|o__OFGB2999	2|1239||	0.00234364837725283	
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.002016041614841144	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.0017892369331715154	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.0008064166459364577	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.000772815952355772	
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	2|1239||	0.0005628116174764862	
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	2|1239||	0.0005292109238958004	
k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347	2|1239||	0.000504010403710286	
k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605	2|1239||	0.00044520918994408597	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.00031080641562134307	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00022680468166962872	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	5.04010403710286e-05	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	23.65487148045597	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	4.9413683990160155	
