#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/3c60f887-064e-4a50-91ed-99f6b4ed361e/6006f938-1b0c-4f13-9e28-3550f9dba116/HV06_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/3c60f887-064e-4a50-91ed-99f6b4ed361e/e94917b6-9dd2-409d-9df4-df26bb74eb42/HV06_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/3c60f887-064e-4a50-91ed-99f6b4ed361e/9cc832e7-f7b9-4aae-a254-2198e2cb8b0c/metaphlan --bowtie2out HV06.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV06_output.txt --vsc_out HV06_virus.vsc.txt --offline
#126606058 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.36832	
k__Bacteria	2	84.63115170563498	
k__Archaea	2157	0.0005331796147770735	
k__Bacteria|p__Firmicutes	2|1239	37.98399504127883	
k__Bacteria|p__Actinobacteria	2|201174	34.450774534352455	
k__Bacteria|p__Bacteroidota	2|976	11.465130519921182	
k__Bacteria|p__Bacillota	2|1239	0.4742505725914741	
k__Bacteria|p__Proteobacteria	2|1224	0.22237821520448225	
k__Bacteria|p__Bacteria_unclassified	2|	0.03461435911806715	
k__Archaea|p__Euryarchaeota	2157|28890	0.0005331796147770735	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	32.03404906710624	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	11.456388066872535	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.4167339304147033	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.3078383414728525	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.2259153450683085	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.4742505725914741	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.30677293137205336	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.18276212350969687	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.13968459590310472	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.13437818926079956	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.10715217623321471	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.047816901960166115	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.037703415616378765	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.037297183528929564	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.03461435911806715	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.03448741159073928	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.034284295547014676	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.027852287495735695	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02459396762765358	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.015022124067131831	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.013007889966862888	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.012423931341154664	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.010519718431236546	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.009639548908429949	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.008750916217134825	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.006542029241629806	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.006330450029416681	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.004849395543924811	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.0044600897934526625	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.0006093481311737983	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.0005331796147770735	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	32.028023291142404	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	11.456388066872535	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.3078383414728525	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.336740536425543	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.2259153450683085	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.0799933939891608	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.4742505725914741	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.30677293137205336	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.16338146767097467	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.13968459590310472	
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	2|1239||	0.13437818926079956	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.10715217623321471	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.10336913991884406	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.047816901960166115	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.037703415616378765	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.037297183528929564	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.03461435911806715	
