#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/2e332641-ed90-487a-9d4b-ebc76e9f14a9/dbe20754-0f4c-482c-8827-b3645de0dc58/HV08_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/2e332641-ed90-487a-9d4b-ebc76e9f14a9/174e72bb-bade-4908-bade-fb66c6fe8b1c/HV08_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/2e332641-ed90-487a-9d4b-ebc76e9f14a9/6e51d0cd-08f5-44e5-b331-805199a824b5/metaphlan --bowtie2out HV08.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV08_output.txt --vsc_out HV08_virus.vsc.txt --offline
#102148768 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	13.89103	
k__Bacteria	2	86.10897178170957	
k__Bacteria|p__Firmicutes	2|1239	55.05374527594448	
k__Bacteria|p__Bacteroidota	2|976	13.05727171047438	
k__Bacteria|p__Actinobacteria	2|201174	11.525840869131033	
k__Bacteria|p__Bacillota	2|1239	5.91642689856077	
k__Bacteria|p__Proteobacteria	2|1224	0.5008356125739574	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.03903319690864895	
k__Bacteria|p__Bacteria_unclassified	2|	0.011366384275185663	
k__Bacteria|p__Lentisphaerae	2|256845	0.003771572964038879	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0006888717742536766	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.033858681046933	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.1378482196956075	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	5.91642689856077	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.8310821633418692	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	1.556901875196378	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.183817533157765	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.1518797155239286	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.7961463312993302	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.7510080082913582	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.686624330090174	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.30112307432063834	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.2521529020683801	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.23093565142136688	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.21304220708512764	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.17882250169907624	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.15021710127319232	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.13928126185691522	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.13279725628175248	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.08586786666072078	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.08032244887797868	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.069257446004029	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.053654500317183225	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.05161371768595671	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.04854823829052785	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.04129786286650791	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.03998039559824775	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.03930013472117225	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.03727657388430207	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.03475358101109798	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.03316917593031452	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.02646128702851935	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02521270693768456	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.02438606080858015	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.023524971090763052	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.02340441853026866	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.022741379447549497	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.021122530778053355	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.01629181746109945	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.014888241221057584	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.01189164900305409	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.01142666055543286	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.011366384275185663	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.011047781079593337	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.00953226317623525	
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.009110329214504873	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.00837840295436034	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.006578725444122611	
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.006406507500559192	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.005812355595265396	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.005726246623483686	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.005261258175862454	
