#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/8b0374a7-0aa8-4828-88a9-144391262fd5/4fd8526b-76ae-4096-adb0-5449b07231f3/HV10_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/8b0374a7-0aa8-4828-88a9-144391262fd5/4764d45f-cecb-4535-bf68-7e57539f3b9b/HV10_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/8b0374a7-0aa8-4828-88a9-144391262fd5/446a22f4-c07c-4a3c-ab94-01f6c02868ed/metaphlan --bowtie2out HV10.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV10_output.txt --vsc_out HV10_virus.vsc.txt --offline
#91980984 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	14.41974	
k__Bacteria	2	85.58026406683136	
k__Bacteria|p__Firmicutes	2|1239	62.12131872780859	
k__Bacteria|p__Bacteroidota	2|976	19.29523442545844	
k__Bacteria|p__Actinobacteria	2|201174	2.626715045003255	
k__Bacteria|p__Proteobacteria	2|1224	1.2234982452314547	
k__Bacteria|p__Bacillota	2|1239	0.13331693536330988	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.10551190756799637	
k__Bacteria|p__Verrucomicrobia	2|74201	0.05862248088577948	
k__Bacteria|p__Bacteria_unclassified	2|	0.01569542042985687	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00035087908267400855	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	18.921710804912347	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.5936842354789402	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.52949047940241	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.9441129151588767	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.7366834711136909	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.7224600312257836	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.44672042040245297	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.3780764905944476	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.37351506251968547	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.33151226891568464	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.2741221438324675	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.18159276232340946	
