#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/b272cc82-1eb3-4d4c-a6b8-205291843c88/c2fb3651-76e4-462c-b93a-623b1e215b6a/HV12_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/b272cc82-1eb3-4d4c-a6b8-205291843c88/1530e2e7-b5e6-4e17-a2e6-8a01e3f48d91/HV12_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/b272cc82-1eb3-4d4c-a6b8-205291843c88/537fcfff-63bc-4b41-84a5-68021a27a1c8/metaphlan --bowtie2out HV12.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV12_output.txt --vsc_out HV12_virus.vsc.txt --offline
#80695974 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	13.22267	
k__Bacteria	2	86.33817307488782	
k__Eukaryota	2759	0.27797381188057213	
k__Archaea	2157	0.16118020734460545	
k__Bacteria|p__Firmicutes	2|1239	56.84615217694051	
k__Bacteria|p__Bacteroidota	2|976	24.35435189187493	
k__Bacteria|p__Actinobacteria	2|201174	1.8688451940315267	
k__Bacteria|p__Proteobacteria	2|1224	1.6285067089116714	
k__Bacteria|p__Verrucomicrobia	2|74201	0.5181387423462392	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.3875215096041804	
k__Bacteria|p__Bacillota	2|1239	0.3815165185692677	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.27797381188057213	
k__Bacteria|p__Lentisphaerae	2|256845	0.1833257812190231	
k__Bacteria|p__Tenericutes	2|544448	0.14911815887852375	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.08660377243992476	
k__Archaea|p__Euryarchaeota	2157|28890	0.0745764349046807	
k__Bacteria|p__Synergistetes	2|508458	0.013086020925792238	
k__Bacteria|p__Bacteria_unclassified	2|	0.007263262277777257	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.000347109308376452	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	23.53094786827702	
k__Bacteria|p__Firmicutes|c__CFGB2832	2|1239|	2.2667973383524194	
k__Bacteria|p__Firmicutes|c__CFGB78857	2|1239|	1.7422631069993442	
k__Bacteria|p__Firmicutes|c__CFGB73114	2|1239|	1.2503224397028174	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.8852155136870467	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.8054150836913002	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.7318279103154924	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.6787028306684766	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.6079879868194838	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.561805093339997	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.5550885282229125	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.5523376869540292	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.48330632325066225	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.4699946812744254	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.4452718207853126	
k__Bacteria|p__Firmicutes|c__CFGB2870	2|1239|	0.4074455839049887	
k__Bacteria|p__Proteobacteria|c__CFGB2117	2|1224|	0.4036360592455572	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.3959389103323093	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.38753886506959917	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.3815165185692677	
k__Bacteria|p__Firmicutes|c__CFGB1767	2|1239|	0.36128872362363	
