#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/8213e51d-3aa0-49d0-b6cb-c46791841082/d6ea800c-adda-4d10-a74d-8a1a81b462c2/HV13_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/8213e51d-3aa0-49d0-b6cb-c46791841082/d88b8f40-53a1-45a2-b8a5-c8ea85bc5ecd/HV13_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/8213e51d-3aa0-49d0-b6cb-c46791841082/f2a09f34-2d05-47ef-929a-cc2d254f3625/metaphlan --bowtie2out HV13.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV13_output.txt --vsc_out HV13_virus.vsc.txt --offline
#88243586 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	11.62858	
k__Bacteria	2	88.21378700369473	
k__Archaea	2157	0.15762809310816733	
k__Bacteria|p__Firmicutes	2|1239	64.39393484996474	
k__Bacteria|p__Bacteroidota	2|976	19.66489333012361	
k__Bacteria|p__Actinobacteria	2|201174	1.8400696051456298	
k__Bacteria|p__Proteobacteria	2|1224	1.163604096862623	
k__Bacteria|p__Bacillota	2|1239	1.0990311038513891	
k__Archaea|p__Euryarchaeota	2157|28890	0.15762809310816733	
k__Bacteria|p__Synergistetes	2|508458	0.03190208084994585	
k__Bacteria|p__Tenericutes	2|544448	0.015783134736289	
k__Bacteria|p__Bacteria_unclassified	2|	0.00456880216050471	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	17.550677921064683	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.6673830229049673	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.4720733583995234	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.4374582751061056	
k__Bacteria|p__Bacteroidota|c__CFGB4425	2|976|	1.3047244096307076	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.0990311038513891	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.9893356662917279	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.8405800632592795	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.662308407584499	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.3675543896706226	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.26904677326221643	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.22707918823274476	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.18110837809938787	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.17757352149551575	
k__Bacteria|p__Firmicutes|c__CFGB8294	2|1239|	0.17330518214634016	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.15762809310816733	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.1572834445892898	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.15628484759869593	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.15487974209865676	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.14718259184372523	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.14227797830585268	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.12067116731468436	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.10397780700289828	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.10357129849345299	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.09385044283280468	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.08988256629495822	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.08289238736080111	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.0818672789456782	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.0721375861435202	
