#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/d9fa9616-fc41-4afd-ab02-09a90f7cec45/7132924e-cc4f-42c4-a6b2-801e8a1aa26f/MAV02T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/d9fa9616-fc41-4afd-ab02-09a90f7cec45/97361017-a598-47ed-a4fa-f2c90bfe8d81/MAV02T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/d9fa9616-fc41-4afd-ab02-09a90f7cec45/22e20345-de9c-4e27-962e-f03df57e1c55/metaphlan --bowtie2out MAV02T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV02T0_output.txt --vsc_out MAV02T0_virus.vsc.txt --offline
#78320912 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.94676	
k__Bacteria	2	81.6120449817511	
k__Archaea	2157	1.426597249539118	
k__Eukaryota	2759	0.014609065442188688	
k__Bacteria|p__Firmicutes	2|1239	70.22895021448328	
k__Bacteria|p__Bacteroidota	2|976	4.493952840994998	
k__Bacteria|p__Bacillota	2|1239	3.4535531713659284	
k__Bacteria|p__Actinobacteria	2|201174	2.8987325922104246	
k__Archaea|p__Euryarchaeota	2157|28890	1.426597249539118	
k__Bacteria|p__Proteobacteria	2|1224	0.47355298088841075	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02809691210399336	
k__Bacteria|p__Bacteria_unclassified	2|	0.018130522945024388	
k__Bacteria|p__Verrucomicrobia	2|74201	0.015738589546871837	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.014609065442188688	
k__Bacteria|p__Lentisphaerae	2|256845	0.0013288518878625298	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	4.4321197015878955	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.907993028803967	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.768646297712982	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.6137187782368096	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	2.462312716263473	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.426597249539118	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.3930022127490933	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.9603280380610536	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.7055622151849092	
k__Bacteria|p__Bacillota|c__Erysipelotrichia	2|1239|526524	0.5455684478862607	
