#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/854ce620-abd4-4acf-b40a-cc3e5435cbf4/94679bf6-c4fe-4d21-b93a-15c0dd325ffc/MAV13T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/854ce620-abd4-4acf-b40a-cc3e5435cbf4/1f2c74c1-14db-4311-bdaf-94271cff445b/MAV13T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/854ce620-abd4-4acf-b40a-cc3e5435cbf4/c2fe76a3-6e4c-4665-8a3e-222a24b04ddc/metaphlan --bowtie2out MAV13T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV13T0_output.txt --vsc_out MAV13T0_virus.vsc.txt --offline
#82887158 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.03732	
k__Bacteria	2	82.60933667635008	
k__Archaea	2157	2.353338662883769	
k__Bacteria|p__Firmicutes	2|1239	63.60580305336393	
k__Bacteria|p__Bacteroidota	2|976	12.940180793669276	
k__Bacteria|p__Actinobacteria	2|201174	3.5627993388728307	
k__Archaea|p__Euryarchaeota	2157|28890	2.353338662883769	
k__Bacteria|p__Bacillota	2|1239	1.9616267444997653	
k__Bacteria|p__Proteobacteria	2|1224	0.3127391116561859	
k__Bacteria|p__Tenericutes	2|544448	0.11290689925830788	
k__Bacteria|p__Lentisphaerae	2|256845	0.09557451348910417	
k__Bacteria|p__Bacteria_unclassified	2|	0.017706221540696336	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	10.16900418973469	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.5841567629778655	
k__Bacteria|p__Bacteroidota|c__CFGB35002	2|976|	2.5631030120288036	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.5299505761114345	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.353338662883769	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.9616267444997653	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.945143985483954	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	1.743442594228613	
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	1.6252255277616028	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.9786425758949653	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.8161089779710109	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.584441251123522	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.5621725339171086	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.48299581676847664	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.4401406433273671	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.4226723172776206	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.32826179244066395	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.2449813780731469	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.19105556803533516	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.17829417419938226	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.1771386818147687	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.1480134767084793	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.13273718768248507	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12604212886575344	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.1255918266864555	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.1216325660156472	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.11943203272436104	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.11521788402753505	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.11290689925830788	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.1111651644138536	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.09158126774816018	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.0858462871627619	
