#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/ac149d7b-c621-4494-9e10-bbd56f7dfa8a/0cfe0e05-e682-4b78-8942-91a3960b9b95/MAV17T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/ac149d7b-c621-4494-9e10-bbd56f7dfa8a/b16ed05b-0bbb-45ae-b9e1-6e163c5d1bdc/MAV17T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/ac149d7b-c621-4494-9e10-bbd56f7dfa8a/384c101b-3ddd-452e-a816-fbb0c3055256/metaphlan --bowtie2out MAV17T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV17T0_output.txt --vsc_out MAV17T0_virus.vsc.txt --offline
#80513468 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.08611	
k__Bacteria	2	83.35386871158022	
k__Archaea	2157	1.5600209989845542	
k__Bacteria|p__Firmicutes	2|1239	47.47530478884294	
k__Bacteria|p__Actinobacteria	2|201174	31.155500532034193	
k__Bacteria|p__Bacillota	2|1239	3.7697436423115525	
k__Archaea|p__Euryarchaeota	2157|28890	1.5600209989845542	
k__Bacteria|p__Bacteroidota	2|976	0.580055272001839	
k__Bacteria|p__Verrucomicrobia	2|74201	0.3597971334816051	
k__Bacteria|p__Bacteria_unclassified	2|	0.010427425656457354	
k__Bacteria|p__Proteobacteria	2|1224	0.002148321409677289	
k__Bacteria|p__Tenericutes	2|544448	0.0008831044529898737	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	27.498174388310456	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	5.7763182958949955	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.364322275888461	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	3.004109064347274	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.135524886497907	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.5600209989845542	
k__Bacteria|p__Bacillota|c__Erysipelotrichia	2|1239|526524	0.7656345779642785	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.6980770873105532	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.5726507808190778	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.5584192129035872	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.5089313979802701	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.35896497736244154	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.2948974475758204	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.2873486027805512	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.2530179171705699	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.24332075096562342	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.2175069284936117	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.19525099800047266	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.14966073061487042	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.0751572837828209	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.07068232179507412	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.06303158033215224	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.05333441412720574	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.04476660265540976	
k__Bacteria|p__Actinobacteria|c__CFGB2801	2|201174|	0.03999444205367601	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.03298055476358336	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.019275452964298206	
k__Bacteria|p__Firmicutes|c__CFGB10309	2|1239|	0.01823101212085826	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01796777906275551	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.017713037393623815	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.014257042082403826	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.01410419708092481	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.012456867620539854	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.011276564553563004	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.010427425656457354	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.009705657593917554	
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.00925561397845156	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.007701689796748226	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.007582810351153435	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.005994920613565874	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.0040928494840492225	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.003863581981830698	
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.00284461530530392	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.002428537245722153	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.002148321409677289	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.002063407519966724	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.0017916830728929168	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.0015709069596454486	
k__Bacteria|p__Firmicutes|c__CFGB2937	2|1239|	0.001562415570674392	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.0013671136243400932	
k__Bacteria|p__Bacteroidota|c__CFGB343	2|976|	0.0012737083456584718	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.001010475287555721	
k__Bacteria|p__Firmicutes|c__CFGB77243	2|1239|	0.000993492509613608	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.0008831044529898737	
k__Bacteria|p__Firmicutes|c__CFGB30328	2|1239|	0.0008831044529898737	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.0008321561191635349	
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.000390603892668598	
k__Bacteria|p__Firmicutes|c__CFGB3022	2|1239|	0.00030569000295803324	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.00013586222353690366	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	9.340527868162127e-05	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	27.234635640204747	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	5.7763182958949955	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	3.004109064347274	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.5431879796093573	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	2.135524886497907	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.5600209989845542	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.8211258048901325	
k__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.7656345779642785	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.6980770873105532	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.5726507808190778	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.5584192129035872	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.5089313979802701	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.35896497736244154	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.2948974475758204	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.2873486027805512	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.2530179171705699	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.24771929045263064	
k__Bacteria|p__Firmicutes|c__CFGB3069|o__OFGB3069	2|1239||	0.24332075096562342	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.2175069284936117	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.19525099800047266	
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.14966073061487042	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	0.0751572837828209	
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.07068232179507412	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.06303158033215224	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.05333441412720574	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.04476660265540976	
k__Bacteria|p__Actinobacteria|c__CFGB2801|o__OFGB2801	2|201174||	0.03999444205367601	
k__Bacteria|p__Firmicutes|c__CFGB79245|o__OFGB79245	2|1239||	0.03298055476358336	
