#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/ec58ea11-c643-4aeb-b21f-f50cf6c36145/8b88a1e6-578d-4805-9442-08783bccc6ae/MAV26T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/ec58ea11-c643-4aeb-b21f-f50cf6c36145/e87b4038-06c9-45ad-aa47-29b9d07114e5/MAV26T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/ec58ea11-c643-4aeb-b21f-f50cf6c36145/aa60f066-aec1-47ad-8a35-4aac45bd2b45/metaphlan --bowtie2out MAV26T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV26T0_output.txt --vsc_out MAV26T0_virus.vsc.txt --offline
#84601840 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.23847	
k__Bacteria	2	81.4018376315993	
k__Archaea	2157	0.34613744206224006	
k__Eukaryota	2759	0.0135642380153834	
k__Bacteria|p__Firmicutes	2|1239	58.09357102930248	
k__Bacteria|p__Bacteroidota	2|976	18.284020514018874	
k__Bacteria|p__Bacillota	2|1239	1.463645873469466	
k__Bacteria|p__Actinobacteria	2|201174	1.1535489143317648	
k__Bacteria|p__Verrucomicrobia	2|74201	1.152813060551545	
k__Bacteria|p__Proteobacteria	2|1224	0.8355210866739179	
k__Archaea|p__Euryarchaeota	2157|28890	0.34613744206224006	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.257001020818292	
k__Bacteria|p__Lentisphaerae	2|256845	0.08587413615164066	
k__Bacteria|p__Synergistetes	2|508458	0.03398826849303725	
k__Bacteria|p__Bacteria_unclassified	2|	0.026098280738459198	
k__Bacteria|p__Tenericutes	2|544448	0.01575544704981544	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.0135642380153834	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.037227714143155	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	5.2467927998757204	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	4.69185275959958	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	3.8706562931806054	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.30325503670016	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.463645873469466	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.067184208993311	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.7634482969779536	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.6959378007193516	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.643177084677598	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.5746936261984833	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.5580551546124043	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.5457173395640537	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.5119334748988552	
k__Bacteria|p__Firmicutes|c__CFGB3237	2|1239|	0.50961962356772	
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	0.44102987509812897	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.4239744197032587	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.41032842015673976	
k__Bacteria|p__Firmicutes|c__CFGB3360	2|1239|	0.39726292748128306	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.39004338428201635	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.34613744206224006	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.3258360538812895	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.3228517579948429	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.2963610219069332	
k__Bacteria|p__Firmicutes|c__CFGB10309	2|1239|	0.27996783491426064	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.2699683996563861	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.2629859648974123	
k__Bacteria|p__Firmicutes|c__CFGB10290	2|1239|	0.22819643339924697	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.22378948687104225	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.20517238623148346	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.19596603782562347	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.18191940677654048	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.1687966810292889	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.13716314463295473	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.13501281636409046	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.12729452782489703	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12074542918094157	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.10086102480878217	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.09672389133332467	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.09443456846153	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.09348613470035792	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.09172826178094416	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB78991	2|1798710|	0.08821251594211664	
