#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/b8001fb2-49ed-44f5-8465-fc4b49758da7/5c68d9ff-d20a-48c2-af58-1b64d3201f1a/MAV33T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/b8001fb2-49ed-44f5-8465-fc4b49758da7/e34189d7-b534-46cb-b51d-147447e3e5c4/MAV33T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/b8001fb2-49ed-44f5-8465-fc4b49758da7/d68b7014-4f16-4ed3-8a93-cc44fa19eb4a/metaphlan --bowtie2out MAV33T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV33T0_output.txt --vsc_out MAV33T0_virus.vsc.txt --offline
#81398320 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.3925	
k__Bacteria	2	84.60749994005585	
k__Bacteria|p__Bacteroidota	2|976	38.67066161885196	
k__Bacteria|p__Firmicutes	2|1239	36.37451559947877	
k__Bacteria|p__Actinobacteria	2|201174	6.247434717073712	
k__Bacteria|p__Bacillota	2|1239	2.4273384087802383	
k__Bacteria|p__Proteobacteria	2|1224	0.8471918183997672	
k__Bacteria|p__Bacteria_unclassified	2|	0.02102496373510388	
k__Bacteria|p__Verrucomicrobia	2|74201	0.019341274486296765	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	38.67066161885196	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.340958423465948	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.4273384087802383	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.1501543541851191	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.7933306839379277	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.7486410024695902	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.6947629465077626	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.49360861540027984	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.24139365807897337	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.23665563808233023	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.2349804095835171	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.21171334710000175	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.18165230237129992	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.13118392865705658	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.11691910416716318	
