#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/91ac5c6a-6296-4583-9b72-30dcf97fb377/76a6a4d5-489e-4675-8f4f-b9586c235ea6/MS11_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/91ac5c6a-6296-4583-9b72-30dcf97fb377/49a5c784-d0dc-45df-abdf-0173c44c91fb/MS11_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/91ac5c6a-6296-4583-9b72-30dcf97fb377/8b945f3b-dab6-4f98-8a00-b8e882ce216c/metaphlan --bowtie2out MS11.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS11_output.txt --vsc_out MS11_virus.vsc.txt --offline
#85750332 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.04301	
k__Bacteria	2	80.46703233525064	
k__Archaea	2157	1.4899617612760354	
k__Bacteria|p__Firmicutes	2|1239	51.66501703109882	
k__Bacteria|p__Actinobacteria	2|201174	18.881186734362537	
k__Bacteria|p__Bacillota	2|1239	7.03825356482506	
k__Bacteria|p__Bacteroidota	2|976	2.484362362048013	
k__Archaea|p__Euryarchaeota	2157|28890	1.4899617612760354	
k__Bacteria|p__Bacteria_unclassified	2|	0.30260161360319576	
k__Bacteria|p__Proteobacteria	2|1224	0.03161081262303034	
k__Bacteria|p__Tenericutes	2|544448	0.027365440328830256	
k__Bacteria|p__Lentisphaerae	2|256845	0.024873947708295843	
k__Bacteria|p__Synergistetes	2|508458	0.006187753054287764	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0036388905378857846	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0019341850606780296	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	13.552334782506964	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	7.03825356482506	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.208727585608294	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	4.0572236228526855	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.438171400175211	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	1.5014111533513204	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.4899617612760354	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.050541141728098	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.9310396486359526	
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.5656098033583595	
k__Bacteria|p__Bacteroidota|c__CFGB343	2|976|	0.4103668651407187	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.3477763087492013	
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	0.33767101137709954	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.3284262624430113	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.32609048811126035	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.30260161360319576	
k__Bacteria|p__Firmicutes|c__CFGB1777	2|1239|	0.2886197504103283	
k__Bacteria|p__Firmicutes|c__CFGB45555	2|1239|	0.2508375761318295	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.23792115386221693	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.20767082734118894	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.19488553626213076	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.19377911684182766	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.1831738818057371	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.17305219303481606	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.1642827946664877	
k__Bacteria|p__Firmicutes|c__CFGB78317	2|1239|	0.12350099440405603	
