#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/464566b7-ab46-4a96-9fb4-c32eb7ae002e/ecd11cfc-482e-4918-8d2d-4795a4a3b10c/MS12_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/464566b7-ab46-4a96-9fb4-c32eb7ae002e/7de6a163-2a4d-4801-a994-b23ac912b205/MS12_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/464566b7-ab46-4a96-9fb4-c32eb7ae002e/6f85cc0c-1558-47a3-8d31-45904ce8b383/metaphlan --bowtie2out MS12.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS12_output.txt --vsc_out MS12_virus.vsc.txt --offline
#82833546 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	19.44007	
k__Bacteria	2	80.55993131703785	
k__Bacteria|p__Firmicutes	2|1239	50.52790590543486	
k__Bacteria|p__Actinobacteria	2|201174	13.986114403861652	
k__Bacteria|p__Bacteroidota	2|976	9.79352584233592	
k__Bacteria|p__Bacillota	2|1239	6.0933437489993185	
k__Bacteria|p__Verrucomicrobia	2|74201	0.11846337900170414	
k__Bacteria|p__Proteobacteria	2|1224	0.03408490694023871	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.006485074471021547	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	9.613160212110206	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.541740326709951	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	6.0933437489993185	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.541484051498214	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	3.1391305076722236	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	1.8172387066772129	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.5318873739591332	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.328006299781974	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	1.0045259515715401	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.993158945262706	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.5558715820806929	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.5298023883064994	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.35923284572893516	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.25878266736972066	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.18036563022571603	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.17716740095242964	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.16348832461479662	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.11846337900170414	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.10718498861731886	
k__Bacteria|p__Actinobacteria|c__CFGB2801	2|201174|	0.08564326298314294	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.06826648579805787	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.05667391168153612	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.056287224011214346	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.05308093874479624	
