#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/88edfd34-9538-47a9-8e63-da9a2471d6d9/39b21ac1-65a0-4f48-9706-c1222761455c/MS16_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/88edfd34-9538-47a9-8e63-da9a2471d6d9/90b8b315-e672-4935-b82a-d17989d14e04/MS16_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/88edfd34-9538-47a9-8e63-da9a2471d6d9/f06e68e9-0df2-4309-9f45-2d65137788aa/metaphlan --bowtie2out MS16.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS16_output.txt --vsc_out MS16_virus.vsc.txt --offline
#73484654 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	28.78323	
k__Bacteria	2	71.21676937411036	
k__Bacteria|p__Bacteroidota	2|976	33.75148576407156	
k__Bacteria|p__Firmicutes	2|1239	25.989826450357018	
k__Bacteria|p__Actinobacteria	2|201174	5.3089965065318045	
k__Bacteria|p__Verrucomicrobia	2|74201	3.790127979382403	
k__Bacteria|p__Proteobacteria	2|1224	2.31525005067539	
k__Bacteria|p__Bacillota	2|1239	0.06088321613792694	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00019940695424750898	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	33.30383139513978	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.003277158962624	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.790127979382403	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.771566989919557	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.8611816619794921	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.5844902696071985	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.4476543689317829	
k__Bacteria|p__Firmicutes|c__CFGB4616	2|1239|	0.43187985451541744	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.39072368349411907	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.32509030883893897	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.3057122258922435	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.2895602625981953	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.2258141323314291	
