#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/c208de60-f19a-4223-8fa3-74c81f7c8e50/b31cc2fb-bdde-4edc-8814-66a9c07a0ad2/MS17_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/c208de60-f19a-4223-8fa3-74c81f7c8e50/409f6fa3-b3e3-44f9-bc46-4d216c5314a6/MS17_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/c208de60-f19a-4223-8fa3-74c81f7c8e50/54c58472-29f7-450a-8421-f86976619626/metaphlan --bowtie2out MS17.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS17_output.txt --vsc_out MS17_virus.vsc.txt --offline
#72062802 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	17.00913	
k__Bacteria	2	82.9908690499734	
k__Bacteria|p__Bacteroidota	2|976	37.5366538840863	
k__Bacteria|p__Firmicutes	2|1239	36.20299891754013	
k__Bacteria|p__Proteobacteria	2|1224	7.286357629067418	
k__Bacteria|p__Actinobacteria	2|201174	1.1266342437010088	
k__Bacteria|p__Bacillota	2|1239	0.7472580840128654	
k__Bacteria|p__Lentisphaerae	2|256845	0.07435151958187117	
k__Bacteria|p__Verrucomicrobia	2|74201	0.011743207970571235	
k__Bacteria|p__Bacteria_unclassified	2|	0.004863264926328441	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	37.288942738145934	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	3.096638296861657	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	1.7369656928683233	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.671875954272429	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	1.4925077889947216	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.9216799934951945	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.7645699792966899	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.7472580840128654	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.5850607295415974	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.5787617225807045	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.3428269809585351	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.22824978714814181	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.20853945574877314	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2020329716152552	
k__Bacteria|p__Firmicutes|c__CFGB51922	2|1239|	0.11617061849615275	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.07689933926170535	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.07435151958187117	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.05430922470630259	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.05215976119790828	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.03917998927849244	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.02746997765554119	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.021851495820857995	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.016299406681414774	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.015768265119494945	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.0140420550432555	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.011419543581276339	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.010075091502666769	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.0062741097001779884	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.004863264926328441	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.003925468106063742	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.0036764954989138214	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.003585205542958851	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0034524201524788927	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.003361130196523922	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.0030623630679440183	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.0029212785905590637	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.0020249772048193506	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.0018672945536244011	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.0012614612095595956	
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	0.0012116666881296114	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.000829908690499734	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.0007303196476397659	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.0004564497797748537	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.0003983561714398723	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.0003568607369148856	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.0003319634761998936	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00023237443333992547	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00011618721666996274	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	37.288942738145934	
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	2|1224||	3.096638296861657	
k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055	2|1224||	1.7369656928683233	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.671875954272429	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	1.4925077889947216	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.9210824592380348	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.7645699792966899	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.7472580840128654	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.5850607295415974	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.5604705350420903	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.3428269809585351	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.22824978714814181	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	0.20853945574877314	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.1326194087418575	
k__Bacteria|p__Firmicutes|c__CFGB51922|o__OFGB51922	2|1239||	0.11617061849615275	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	0.07689933926170535	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.07435151958187117	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.06941356287339775	
