#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/1c4bc40f-32bc-40ec-be1c-c05759d7bb24/ea1371e7-e72a-4ac8-825f-dbb2d83480d5/MS19_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/1c4bc40f-32bc-40ec-be1c-c05759d7bb24/b721704d-e13e-4e9b-b6a0-45cfed4d72d6/MS19_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/1c4bc40f-32bc-40ec-be1c-c05759d7bb24/3b31dfe7-ace5-4d18-b3e1-9d882b7343c0/metaphlan --bowtie2out MS19.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS19_output.txt --vsc_out MS19_virus.vsc.txt --offline
#105366832 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.68616	
k__Bacteria	2	80.84260645483131	
k__Archaea	2157	0.3939574059721017	
k__Eukaryota	2759	0.07727253873047706	
k__Bacteria|p__Firmicutes	2|1239	56.79274644967041	
k__Bacteria|p__Bacteroidota	2|976	15.80201055733246	
k__Bacteria|p__Proteobacteria	2|1224	3.0512041342888296	
k__Bacteria|p__Bacillota	2|1239	2.2962132947027976	
k__Bacteria|p__Verrucomicrobia	2|74201	1.3641778391240602	
k__Bacteria|p__Actinobacteria	2|201174	1.1787416352149231	
k__Archaea|p__Euryarchaeota	2157|28890	0.3939574059721017	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.34176205438724094	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.07727253873047706	
k__Bacteria|p__Tenericutes	2|544448	0.01574235872694976	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	15.458776722506387	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	2.445521761099622	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.2962132947027976	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	1.7794313388491998	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.3641778391240602	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.3464514227889617	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.1741067465401498	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	1.050412138609179	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.7614308954288753	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.7108536891883652	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.6484697139026429	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.4974455255577885	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.4971121388285504	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.4378912717787699	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.43177647128152497	
k__Bacteria|p__Firmicutes|c__CFGB79237	2|1239|	0.4129441867713929	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.3939574059721017	
k__Bacteria|p__Actinobacteria|c__CFGB77156	2|201174|	0.3885825613860926	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.3583826025473057	
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.35692708487575403	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.3432338348260725	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.34176205438724094	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.30439834656165515	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.1993652640843772	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.14508827828768833	
