#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/f10a0735-9a89-44f0-bca6-88a34e89e8e2/507811f9-8540-4289-9d71-54e7103faf1d/MS4_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/f10a0735-9a89-44f0-bca6-88a34e89e8e2/425a561e-ea73-4b45-8420-82acef1ed55b/MS4_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/f10a0735-9a89-44f0-bca6-88a34e89e8e2/3f4b4d38-7c99-4a0f-b8c4-bc005c36a7fa/metaphlan --bowtie2out MS4.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS4_output.txt --vsc_out MS4_virus.vsc.txt --offline
#54841798 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	22.96067	
k__Bacteria	2	76.58316921183136	
k__Archaea	2157	0.45615755773528105	
k__Bacteria|p__Firmicutes	2|1239	53.567154175933965	
k__Bacteria|p__Bacteroidota	2|976	14.078482435110363	
k__Bacteria|p__Actinobacteria	2|201174	6.8796889198490705	
k__Bacteria|p__Bacillota	2|1239	1.9254053742883943	
k__Archaea|p__Euryarchaeota	2157|28890	0.45615755773528105	
k__Bacteria|p__Verrucomicrobia	2|74201	0.06588403225333339	
k__Bacteria|p__Proteobacteria	2|1224	0.05528342088984103	
k__Bacteria|p__Bacteria_unclassified	2|	0.009868737759181487	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.001402115747206113	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	14.078482435110363	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.172657944022007	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.081918470553446	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.9254053742883943	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.7884602670228125	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.5739057419695697	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	1.1331329377901709	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	1.0190531027097967	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.7033074219447277	
k__Bacteria|p__Firmicutes|c__CFGB1778	2|1239|	0.6149895377360965	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.48047887319643323	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.45615755773528105	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.39726099241994733	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.38865569961978674	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.30503721434409914	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.24213460403674797	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.21658065934728268	
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.12261579248644226	
k__Bacteria|p__Firmicutes|c__CFGB2997	2|1239|	0.11562062161576561	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.09253963931560345	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.07802543015221709	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.06588403225333339	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.0653832766293312	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.06237874288531811	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.056215596743752774	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.04319595051969602	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.04198643308941382	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.04198643308941382	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.04172449937839729	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.039320872383186815	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.0363009307738198	
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.03160153184087624	
k__Bacteria|p__Firmicutes|c__CFGB83839	2|1239|	0.031100776216874054	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.028165577866953565	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.025623280083557864	
