#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/16919d79-2ac6-47d9-803c-6bb733a780fd/d9f74ab2-5956-40a8-83ee-212576dbe24b/MS6_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/16919d79-2ac6-47d9-803c-6bb733a780fd/f2b99055-fa3d-43c2-8268-9c22ca2efed8/MS6_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/16919d79-2ac6-47d9-803c-6bb733a780fd/13664b50-31aa-41d1-acce-d98472846419/metaphlan --bowtie2out MS6.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS6_output.txt --vsc_out MS6_virus.vsc.txt --offline
#65922674 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	24.12273	
k__Bacteria	2	75.33791946469924	
k__Archaea	2157	0.5393508125849918	
k__Bacteria|p__Firmicutes	2|1239	44.552234595096714	
k__Bacteria|p__Bacteroidota	2|976	15.451374161093163	
k__Bacteria|p__Actinobacteria	2|201174	11.412055265608966	
k__Bacteria|p__Bacillota	2|1239	2.3673253062891018	
k__Bacteria|p__Bacteria_unclassified	2|	0.940946440981574	
k__Bacteria|p__Proteobacteria	2|1224	0.5985730220364122	
k__Archaea|p__Euryarchaeota	2157|28890	0.5393508125849918	
k__Bacteria|p__Lentisphaerae	2|256845	0.009727466049547839	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.005683207543768589	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	15.436297347489067	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.758228415356633	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.3673253062891018	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.048640771124508	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.4712450952224858	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.0764025438805818	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.940946440981574	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.7008707578242468	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.6538192625253028	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.5393508125849918	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.4298067974856766	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.21289644494400412	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.20353318979178722	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.09524873737907491	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.09197083930309623	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07679538524763938	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.07210616994450321	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.04277201725530513	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03414477162477791	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.028613318621563886	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.023127391980516235	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.016321200836643842	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.01463672543648813	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.010220668306350187	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.009727466049547839	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00957571150899327	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.008771412444054058	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.0071628143141756325	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.006449567973569161	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.005683207543768589	
