#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/8cc990fc-dc1b-4834-8ba0-1038bcc547c8/acc225d3-7de8-47e4-8519-ded37e020115/REF1_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/8cc990fc-dc1b-4834-8ba0-1038bcc547c8/c806730b-204b-4f3b-85ee-b32f37729e8c/REF1_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/8cc990fc-dc1b-4834-8ba0-1038bcc547c8/3f0969e8-a6fa-4441-965e-8fc140de904d/metaphlan --bowtie2out REF1.bowtie2.bz2 --nproc 30 --unclassified_estimation -o REF1_output.txt --vsc_out REF1_virus.vsc.txt --offline
#69983912 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.22537	
k__Bacteria	2	83.601798136963	
k__Archaea	2157	0.1728270517643445	
k__Bacteria|p__Firmicutes	2|1239	55.37460837662283	
k__Bacteria|p__Bacteroidota	2|976	21.313722326490517	
k__Bacteria|p__Bacillota	2|1239	2.026516560777833	
k__Bacteria|p__Verrucomicrobia	2|74201	1.3776820886911398	
k__Bacteria|p__Proteobacteria	2|1224	1.3689527727464745	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	1.0519579684948492	
k__Bacteria|p__Actinobacteria	2|201174	0.5629571038057288	
k__Bacteria|p__Tenericutes	2|544448	0.3891917762392706	
k__Archaea|p__Euryarchaeota	2157|28890	0.1728270517643445	
k__Bacteria|p__Lentisphaerae	2|256845	0.11579328693585893	
k__Bacteria|p__Bacteria_unclassified	2|	0.02026508183315314	
k__Bacteria|p__Synergistetes	2|508458	0.0001507943253397092	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	21.246266998288554	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.026516560777833	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.4578041402216388	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.3776820886911398	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.181456784111584	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.7312519483473632	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.5569001984045838	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.5018183823429957	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.48641222877078866	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.47265643531479967	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.3927605752723104	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.3891917762392706	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.36719255966471076	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.33522416269269245	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2625999401165847	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.24072638547980799	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.23606851631931475	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.20017946688846397	
k__Bacteria|p__Firmicutes|c__CFGB1695	2|1239|	0.1883421123492968	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.1728270517643445	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.15361753020856933	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.1441258651746865	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106	2|1798710|	0.12786521042555452	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.10641052891472146	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.10636026413960822	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.10433291821004102	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.0936181436484028	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.09166619488150546	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.07450077418033521	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.07180323124925819	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.0676228774523407	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.06407921080685754	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.06337550395527222	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.06234507606545089	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.05052447645132146	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.047131604131178	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.046578691604932394	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.04643627474211156	
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	0.04511263566412967	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.044082207774308324	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.03632467748183218	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.035285872129491955	
k__Bacteria|p__Firmicutes|c__CFGB11916	2|1239|	0.03489213139110493	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.033509850075490934	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.03216945607247129	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.030318036855800423	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.029840521492224676	
k__Bacteria|p__Firmicutes|c__CFGB77220	2|1239|	0.02969810462940384	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.029505422991469767	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.029480290603913148	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.02882684852744108	
k__Bacteria|p__Firmicutes|c__CFGB1779	2|1239|	0.02782993048769522	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02344851759032478	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.022175143287456126	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.021990839112040923	
k__Bacteria|p__Firmicutes|c__CFGB11739	2|1239|	0.020792861971842123	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.02026508183315314	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.01992160586987936	
k__Bacteria|p__Firmicutes|c__CFGB4616	2|1239|	0.019351938418596015	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.018011544415576376	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.017852372627717796	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.015548570435027794	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.014526520007725321	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.012356757215337282	
k__Bacteria|p__Firmicutes|c__CFGB2838	2|1239|	0.011644672901233099	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.011209044850251718	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.010940966049647791	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.010765039336751462	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.009994312785015171	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.009851895922194334	
k__Bacteria|p__Firmicutes|c__CFGB77243	2|1239|	0.009324115783505352	
