#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/f4a4ec03-e515-4d50-b1d4-c0857253ecb3/e2d79460-061d-4807-82b2-a2e95f95d29d/TEC04T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/f4a4ec03-e515-4d50-b1d4-c0857253ecb3/a160dd59-433a-4652-b217-60827ec23e83/TEC04T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/f4a4ec03-e515-4d50-b1d4-c0857253ecb3/2d50f233-bab9-44ae-b0f0-7bb023267e86/metaphlan --bowtie2out TEC04T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC04T0_output.txt --vsc_out TEC04T0_virus.vsc.txt --offline
#71352490 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	11.26826	
k__Bacteria	2	88.73173696398223	
k__Bacteria|p__Firmicutes	2|1239	39.62793090871492	
k__Bacteria|p__Bacteroidota	2|976	34.91899974025226	
k__Bacteria|p__Actinobacteria	2|201174	11.962289260235996	
k__Bacteria|p__Proteobacteria	2|1224	1.1859706499131937	
k__Bacteria|p__Bacillota	2|1239	1.0275223872166106	
k__Bacteria|p__Bacteria_unclassified	2|	0.0046317966695198715	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.004383347806020722	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	34.91899974025226	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.43090590225903	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.389279481229149	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.1777185983755432	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.0275223872166106	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.942171329430956	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.5830828631114163	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.4292042848684784	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.24237961269081384	
k__Bacteria|p__Actinobacteria|c__CFGB77156	2|201174|	0.14209500357412114	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.07716111846387894	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06928174022147732	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.06322136258683733	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.04716091819635655	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.03677930497157063	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.0259629062356612	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02520868647146735	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0154748149265185	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.011490759936835697	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.0065661485353346845	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.006042631287247189	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0046317966695198715	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.004383347806020722	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.002537727677169892	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0014285809651201139	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00079858563267584	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.000718727069408256	
k__Bacteria|p__Firmicutes|c__CFGB52309	2|1239|	0.0006299953324442738	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	6.211221587478755e-05	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	34.91899974025226	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.426336217805384	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.2879034717477995	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	1.1777185983755432	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.0275223872166106	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.942171329430956	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.5830828631114163	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.4292042848684784	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.24237961269081384	
k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156	2|201174||	0.14209500357412114	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.10137600948134969	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	2|1239||	0.07716111846387894	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.06928174022147732	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.06563486583225764	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.06322136258683733	
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	2|1239||	0.04716091819635655	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.03677930497157063	
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.0259629062356612	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.02520868647146735	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.0154748149265185	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.011490759936835697	
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628	2|1239||	0.0065661485353346845	
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.006042631287247189	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.0046317966695198715	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.004569684453645084	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.004383347806020722	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.002537727677169892	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.0014285809651201139	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.00079858563267584	
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	2|1239||	0.000718727069408256	
k__Bacteria|p__Firmicutes|c__CFGB52309|o__OFGB52309	2|1239||	0.0006299953324442738	
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	6.211221587478755e-05	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	24.57176119036619	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	22.233857384839187	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	9.426336217805384	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	4.857689925482777	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	2.687009951438095	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	2.585216902793015	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	2.2879034717477995	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	1.4198142695080722	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	1.3827244034571278	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	1.1777185983755432	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.942171329430956	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	2|1239|186801|186802|538999	0.9312129599159041	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.6521782666852693	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.572443927849435	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.4993467229385064	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.4292042848684784	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.26082694080562574	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.24237961269081384	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.2105692849892262	
k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156|f__FGB77156	2|201174|||	0.14209500357412114	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.10137600948134969	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.0963094273007063	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380	2|1239|||	0.07716111846387894	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.06928174022147732	
