#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/7abc1abb-a3de-4c8c-87a2-00d439ea7bf8/99b5e356-60dd-48bf-8cae-4908c4e5b031/TEC07T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/7abc1abb-a3de-4c8c-87a2-00d439ea7bf8/c00eb380-daec-435e-b9db-787d076e9bdb/TEC07T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/7abc1abb-a3de-4c8c-87a2-00d439ea7bf8/d76e3ab6-507d-45c3-b2e7-20c74f52b6af/metaphlan --bowtie2out TEC07T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC07T0_output.txt --vsc_out TEC07T0_virus.vsc.txt --offline
#73714078 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.86697	
k__Bacteria	2	83.1330314166697	
k__Bacteria|p__Firmicutes	2|1239	50.197711248836015	
k__Bacteria|p__Bacteroidota	2|976	22.27532118873067	
k__Bacteria|p__Proteobacteria	2|1224	4.294826982351132	
k__Bacteria|p__Actinobacteria	2|201174	3.718274469567102	
k__Bacteria|p__Bacillota	2|1239	1.4848889539519874	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.8666535392156398	
k__Bacteria|p__Tenericutes	2|544448	0.21802468819335794	
k__Bacteria|p__Lentisphaerae	2|256845	0.07733865912692782	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	21.869906334420996	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	3.173919379850749	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.867366326501779	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.6600169979343438	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.1930255072543432	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.092409599330748	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.9501939224862513	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.8666535392156398	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.8289028296493302	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.6166808270488557	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.35038078751183777	
k__Bacteria|p__Bacillota|c__Erysipelotrichia	2|1239|526524	0.29186344669764397	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.2599403626336428	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.24157627599370046	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.23430213574474185	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.21802468819335794	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.15408707373079725	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.15361321545172224	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.09498780169668679	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.09238573781334503	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.09237742451020335	
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.07217609787595262	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.05630600217851038	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.05107693450240186	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.04579798700744333	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.045756420491735	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03828276096737639	
k__Bacteria|p__Lentisphaerae|c__CFGB2345	2|256845|	0.03158223863519282	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.030775848230451118	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.022013626719134132	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.019286863288667366	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.017574322841483973	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.017092151259267288	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.017025644834133952	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.015379610812083892	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.014357074525658856	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.014074422218842178	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.011281152363242078	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.010183796348542037	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.009776444494600356	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.007390526492941935	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.005229067676108523	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.005229067676108523	
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.004622196546766834	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.003450020803791792	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.0030343556467084436	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.0030094157372834427	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.0030011024341417758	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.0017457936597500634	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.0016626606283333938	
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.0014298881403667187	
k__Bacteria|p__Firmicutes|c__CFGB2959	2|1239|	0.0011555491366917086	
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.0011555491366917086	
k__Bacteria|p__Firmicutes|c__CFGB30328	2|1239|	0.001055789498991705	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.0009477165581500345	
k__Bacteria|p__Firmicutes|c__CFGB2897	2|1239|	0.0008645835267333646	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	9.144633455833666e-05	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	4.987981885000182e-05	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	21.869906334420996	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	3.173919379850749	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.8666929489473043	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	1.6600169979343438	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.1930255072543432	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	1.092409599330748	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.9501939224862513	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	2|1798710||	0.8666535392156398	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.6940527393883502	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.35038078751183777	
