#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/3e397636-b305-40c8-bf1f-edd5283d5ac6/37a4de14-73b9-4abd-88a2-e5f8d2308d91/TEC12T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/3e397636-b305-40c8-bf1f-edd5283d5ac6/91735151-5a31-46e3-bed9-12a1a12252e0/TEC12T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/3e397636-b305-40c8-bf1f-edd5283d5ac6/ff5d59ac-d563-4693-9860-4a172b15bdba/metaphlan --bowtie2out TEC12T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC12T0_output.txt --vsc_out TEC12T0_virus.vsc.txt --offline
#83356296 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.78845	
k__Bacteria	2	83.21155055013962	
k__Bacteria|p__Actinobacteria	2|201174	37.21167285209892	
k__Bacteria|p__Firmicutes	2|1239	36.02945306881286	
k__Bacteria|p__Bacillota	2|1239	6.892213024346744	
k__Bacteria|p__Bacteroidota	2|976	2.8187413479556493	
k__Bacteria|p__Proteobacteria	2|1224	0.15459873976710442	
k__Bacteria|p__Synergistetes	2|508458	0.0991715259456564	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.002454740741229119	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0020719676086984767	
k__Bacteria|p__Bacteria_unclassified	2|	0.0011316770874818989	
k__Bacteria|p__Verrucomicrobia	2|74201	4.1605775275069815e-05	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	30.36828004445994	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	6.892213024346744	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.468133678123013	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.0724616867380803	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	2.8127417951609845	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.2911104183359665	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.6616649653544903	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.3752508083609097	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.3687436651078887	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.17704921610553206	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.16939375345491922	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.11140362387652693	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0991715259456564	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.07721199775547455	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07398338959412915	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.0626333340990901	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.043203437045632495	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.042313073454746	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.036213666799420764	
