#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/88d98eb5-b9a4-4384-b805-3ddbc8fbd384/9865fcfe-c8ee-4399-bfc8-2e992541d11f/TEC14T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/88d98eb5-b9a4-4384-b805-3ddbc8fbd384/a8e06c76-5a77-42d9-b57f-df9555b684c5/TEC14T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/88d98eb5-b9a4-4384-b805-3ddbc8fbd384/fc22aa8e-4782-424a-8658-ea583f4857bc/metaphlan --bowtie2out TEC14T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC14T0_output.txt --vsc_out TEC14T0_virus.vsc.txt --offline
#53802188 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	8.76768	
k__Bacteria	2	91.23231857888854	
k__Bacteria|p__Firmicutes	2|1239	83.68069113376704	
k__Bacteria|p__Actinobacteria	2|201174	3.3877023160942943	
k__Bacteria|p__Bacteroidota	2|976	2.3890094943067752	
k__Bacteria|p__Bacillota	2|1239	1.636078292307066	
k__Bacteria|p__Proteobacteria	2|1224	0.1351971729020549	
k__Bacteria|p__Bacteria_unclassified	2|	0.003640169511297652	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	43.734510965218405	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	2.3890094943067752	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.7365250750624224	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.636078292307066	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.590681090582211	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.29073915284720203	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.14901886916675655	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.10727096018505715	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.06049615044966099	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.025472063347225682	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.006240290590795975	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.005829745157190977	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.004762327029817982	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.003640169511297652	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.00262749077507199	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0024632726016299905	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	40.77446014246265	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.3890094943067752	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.9336324993521112	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.6860644796564392	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.636078292307066	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.5559945630585177	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.0264183234036433	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	2|1239||	0.29073915284720203	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.14901886916675655	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.10727096018505715	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.07248407711092696	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.06049615044966099	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.05046059540598325	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.034686527523693424	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.025472063347225682	
