#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/b40b907f-5044-4b2e-b511-a119607cdc7c/e1df0c0a-dd96-46e0-aa3b-3fa76a130488/TEC19T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/b40b907f-5044-4b2e-b511-a119607cdc7c/8d0dd568-71ac-406b-ac24-e117943b7a45/TEC19T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/b40b907f-5044-4b2e-b511-a119607cdc7c/69f4031e-72da-4072-becb-e9a16f640855/metaphlan --bowtie2out TEC19T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC19T0_output.txt --vsc_out TEC19T0_virus.vsc.txt --offline
#63250620 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	6.93074	
k__Bacteria	2	93.06926264260572	
k__Bacteria|p__Firmicutes	2|1239	64.53566928995376	
k__Bacteria|p__Verrucomicrobia	2|74201	11.008018326063326	
k__Bacteria|p__Bacteroidota	2|976	8.203497086369838	
k__Bacteria|p__Actinobacteria	2|201174	7.687725846657047	
k__Bacteria|p__Tenericutes	2|544448	0.683556506404882	
k__Bacteria|p__Proteobacteria	2|1224	0.43788157380719567	
k__Bacteria|p__Bacillota	2|1239	0.37377546569896886	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.11083618488107916	
k__Bacteria|p__Lentisphaerae	2|256845	0.0279486995715745	
k__Bacteria|p__Bacteria_unclassified	2|	0.00034435627177764117	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	20.483679163494944	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	11.008018326063326	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	8.013970839924438	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.476893433360741	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	3.549363855548526	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	2.9542231486541195	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.182641733641861	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	2.1680484732595002	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.1210298817724555	
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	1.980346384361893	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.8593842637052984	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	1.1748319161901406	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.8516209808848993	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.8132392169710888	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.8123364451234555	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.7802833910693421	
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.7207562906831314	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.683556506404882	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.5477405314305275	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.5189914362002266	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.48210808741496186	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.37377546569896886	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.3691406164193671	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.31279648481553357	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.1786185288636889	
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.17195476965847833	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.1709682354744667	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.13981795326798657	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12982231446017073	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.11803043888335256	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.11690430080537705	
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.11246489697732476	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.11083618488107916	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.10868628491403495	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.10737400831077422	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.10646192953687669	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.08237560436497032	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.08163105026382947	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.06541838471148757	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.06129541637642013	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.06048571379142947	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.0578797744374365	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.054352449383281744	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.05153245072521079	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.04263502921657768	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.037981566084447395	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.03773958600157662	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.03230434106324844	
k__Bacteria|p__Firmicutes|c__CFGB2937	2|1239|	0.029605332446612877	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.028190679654445275	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.0279486995715745	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.025929096572229953	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.02588256194090865	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.019293258145812165	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.01803682310013699	
