#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/e9e22218-9c11-42e4-adf0-785e34a2c7e3/9b9bd68f-24fe-449d-92e5-25309ae41064/TEC27T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/e9e22218-9c11-42e4-adf0-785e34a2c7e3/58d0178b-6134-4cd8-8fb5-911fc21c22b8/TEC27T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/e9e22218-9c11-42e4-adf0-785e34a2c7e3/ebd843cb-f88a-49fc-9491-b097026b6c50/metaphlan --bowtie2out TEC27T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC27T0_output.txt --vsc_out TEC27T0_virus.vsc.txt --offline
#73169882 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.45366	
k__Bacteria	2	83.54633641803049	
k__Bacteria|p__Bacteroidota	2|976	50.58758240402765	
k__Bacteria|p__Firmicutes	2|1239	25.672510922313577	
k__Bacteria|p__Actinobacteria	2|201174	5.066817955477012	
k__Bacteria|p__Proteobacteria	2|1224	2.2030584089079714	
k__Bacteria|p__Bacteria_unclassified	2|	0.01402742988458732	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.002339297419704854	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	49.932863184054106	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.256435201489399	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	3.5068658257804723	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.3273507744751012	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.1061534941747238	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.8757076344328704	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.8103827539876122	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.6547192199735378	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.31461043904937747	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.1074155247326618	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.0342289340304671	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.01402742988458732	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.004920879215021996	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.002339297419704854	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	49.932863184054106	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	4.256318236618415	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	2|1239||	3.5068658257804723	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.3273507744751012	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.1061534941747238	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.8757076344328704	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.6952976755717752	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	0.6547192199735378	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.31461043904937747	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.11508507841583702	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.1074155247326618	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.10006344712787513	
k__Bacteria|p__Firmicutes|c__CFGB3004|o__OFGB3004	2|1239||	0.0342289340304671	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.01402742988458732	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.004920879215021996	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.002339297419704854	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00011696487098524268	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	43.29892482321589	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.2526240459146605	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	4.788792457145091	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	4.256318236618415	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	3.8024694732947477	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380	2|1239|||	3.5068658257804723	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.4105211523792507	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	1.3273507744751012	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.2822023342747977	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.1061534941747238	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.804751730913037	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.7914845726898537	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.6952976755717752	
