#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/39cb2c55-82e4-413d-8262-59b5fc85ab4f/a73ad78f-15b4-4323-a6af-0fe280ae8cfc/TEC28T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/39cb2c55-82e4-413d-8262-59b5fc85ab4f/29ffab0e-9343-4d3e-b0af-34245e624d6e/TEC28T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/39cb2c55-82e4-413d-8262-59b5fc85ab4f/d0cc49ea-7537-49cc-b1e9-f3eebec61f8c/metaphlan --bowtie2out TEC28T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC28T0_output.txt --vsc_out TEC28T0_virus.vsc.txt --offline
#55406596 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.9336	
k__Bacteria	2	81.0023228057335	
k__Archaea	2157	0.06407488073138184	
k__Bacteria|p__Firmicutes	2|1239	41.43209548733904	
k__Bacteria|p__Bacteroidota	2|976	36.91998843194902	
k__Bacteria|p__Bacillota	2|1239	1.1338513845212785	
k__Bacteria|p__Actinobacteria	2|201174	0.7775483534097279	
k__Bacteria|p__Proteobacteria	2|1224	0.7218314182798207	
k__Archaea|p__Euryarchaeota	2157|28890	0.06407488073138184	
k__Bacteria|p__Bacteria_unclassified	2|	0.016618611525725302	
k__Bacteria|p__Lentisphaerae	2|256845	0.00038911870889503147	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	36.91998843194902	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.9982461697725162	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.949841423713928	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	1.9462988221350295	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.6374277403098296	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.1338513845212785	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.8001091318858711	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.5276773958207372	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.480488645727446	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.22006284315967756	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.21981964396661818	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12102402510612344	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.0992576973273076	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.08820024068287378	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.06407488073138184	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.054071287256872075	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.05005039393162342	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.0381012069126385	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03087008423900583	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.03005131362237253	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.0264357522855562	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.02221219296609138	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02127992939269703	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.016618611525725302	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.014964857012921419	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.011770840944074702	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.007190589474789435	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.005820567353888179	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.0034453219016747577	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.003121056310928898	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.0014916217174309539	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.0013375955618266707	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.0010700764494613365	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.0010376498903867505	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0009484768529316392	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.0007377042189468304	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.0005917847031111937	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00038911870889503147	
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.000332372230514506	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.0002026659942161622	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	36.91998843194902	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	1.949841423713928	
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	1.9462988221350295	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	1.6374277403098296	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.3148888638346918	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.1338513845212785	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.8001091318858711	
