#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/a96a052a-a989-4d69-85e3-3315d1e1b275/de94f8f4-e4a4-4e82-b992-6e61d860cc63/TEC31T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/a96a052a-a989-4d69-85e3-3315d1e1b275/a49bba1b-eef6-4288-b5ab-814e09c77155/TEC31T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/a96a052a-a989-4d69-85e3-3315d1e1b275/09dc3ef0-27c7-455c-b31c-963304abedc7/metaphlan --bowtie2out TEC31T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC31T0_output.txt --vsc_out TEC31T0_virus.vsc.txt --offline
#66416090 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	17.33087	
k__Bacteria	2	82.57763090965415	
k__Archaea	2157	0.0914981920898102	
k__Bacteria|p__Firmicutes	2|1239	48.82450338427072	
k__Bacteria|p__Bacteroidota	2|976	21.012764832865088	
k__Bacteria|p__Proteobacteria	2|1224	7.563464756821835	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	1.3931236297967686	
k__Bacteria|p__Tenericutes	2|544448	1.0637532856296004	
k__Bacteria|p__Actinobacteria	2|201174	0.8574938085207494	
k__Bacteria|p__Lentisphaerae	2|256845	0.7493295200040275	
k__Bacteria|p__Verrucomicrobia	2|74201	0.5943166360253475	
k__Bacteria|p__Bacillota	2|1239	0.5057035965411881	
k__Archaea|p__Euryarchaeota	2157|28890	0.0914981920898102	
k__Bacteria|p__Bacteria_unclassified	2|	0.011449674380591537	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0017195178853162741	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	20.151823721660794	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	5.105504875804234	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	4.644459142803807	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.2814860911241093	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	1.4320442557778696	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.3074205436569908	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	1.2011163105450582	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	1.1913696202239628	
k__Bacteria|p__Firmicutes|c__CFGB1778	2|1239|	1.0973004182190882	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	1.0637532856296004	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.761341344462511	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.7365323388190775	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.6315425448598627	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.5506260012950758	
k__Bacteria|p__Firmicutes|c__CFGB2937	2|1239|	0.531107819914154	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.5301488580165739	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.5150286743038648	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.5057035965411881	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.48229169917957426	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.46463357320344173	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.44952165640364294	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.40497952964362327	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.27459377922435274	
k__Bacteria|p__Proteobacteria|c__CFGB2401	2|1224|	0.26917895126818847	
k__Bacteria|p__Lentisphaerae|c__CFGB2345	2|256845|	0.262896097456456	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.24963596914853622	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.2423858865263133	
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.2340197706612168	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.22017269153667468	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.21848624130299912	
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.2148653334483427	
