{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Kingdom', 'name': 'Bacteria', 'quantity': '82.57763090965415'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Kingdom', 'name': 'Archaea', 'quantity': '0.0914981920898102'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Bacteroidota', 'quantity': '21.012764832865088'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Firmicutes', 'quantity': '48.82450338427072'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Proteobacteria', 'quantity': '7.563464756821835'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Bacillota', 'quantity': '0.5057035965411881'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Actinobacteria', 'quantity': '0.8574938085207494'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Lentisphaerae', 'quantity': '0.7493295200040275'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Euryarchaeota', 'quantity': '0.0914981920898102'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Verrucomicrobia', 'quantity': '0.5943166360253475'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Bacteria_unclassified', 'quantity': '0.0114496743805915'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Phylum', 'name': 'Candidatus_Saccharibacteria', 'quantity': '0.0017195178853162'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Bacteroidia', 'quantity': '20.151823721660797'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1765', 'quantity': '5.105504875804234'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Betaproteobacteria', 'quantity': '2.2814860911241093'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2403', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1325', 'quantity': '0.2184862413029991'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Clostridia', 'quantity': '0.5057035965411881'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB72899', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1776', 'quantity': '1.2011163105450582'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB38642', 'quantity': '0.761341344462511'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB602', 'quantity': '0.4822916991795742'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Negativicutes', 'quantity': '0.2201726915366746'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2834', 'quantity': '0.1509620966526946'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Actinomycetia', 'quantity': '0.6315425448598627'}
