Depth	Taxa_id	Taxonomic_Tree	kraken_mean
Phylum	200940	Bacteria|Thermodesulfobacteriota	0.0022935855109165386
Phylum	203691	Bacteria|Spirochaetota	1.0074153356799243e-05
Class	526524	Bacteria|Bacillota|Erysipelotrichia	0.005155679359457123
Class	117743	Bacteria|Bacteroidota|Flavobacteriia	3.7598885587781573e-06
Class	768503	Bacteria|Bacteroidota|Cytophagia	6.6929732263570475e-06
Class	2008785	Bacteria|Pseudomonadota|Hydrogenophilia	1.4273890742820222e-06
Class	3031852	Bacteria|Campylobacterota|Epsilonproteobacteria	4.164001593416364e-05
Class	28211	Bacteria|Pseudomonadota|Alphaproteobacteria	1.838406591488704e-05
Class	3031449	Bacteria|Thermodesulfobacteriota|Desulfovibrionia	0.0022935855109165386
Class	203692	Bacteria|Spirochaetota|Spirochaetia	1.0074153356799243e-05
Order	526525	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales	0.005155679359457123
Order	85011	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales	5.635767689784821e-06
Order	200644	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales	3.7598885587781573e-06
Order	2887326	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales	1.1902255055107807e-05
Order	1643682	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales	2.5136279008896846e-05
Order	204458	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales	5.172744575682595e-06
Order	768507	Bacteria|Bacteroidota|Cytophagia|Cytophagales	6.6929732263570475e-06
Order	119069	Bacteria|Pseudomonadota|Hydrogenophilia|Hydrogenophilales	1.4273890742820222e-06
Order	204455	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales	3.3940185732369587e-06
Order	356	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales	9.817302765967471e-06
Order	1643686	Bacteria|Spirochaetota|Spirochaetia|Brachyspirales	1.0074153356799243e-05
Family	2810280	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae	0.004409319654621428
Family	3047432	Bacteria|Bacillota|Clostridia|Eubacteriales|Maliibacteriaceae	0.0002650807448240613
Family	119060	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae	1.8646973549533376e-05
Family	85015	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae	7.051112469793958e-06
Family	85026	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Gordoniaceae	4.33676662556202e-06
Family	85023	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae	1.0696389378622824e-05
Family	2062	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales|Streptomycetaceae	5.635767689784821e-06
Family	2762318	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae	3.7598885587781573e-06
Family	2805586	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Lawsonellaceae	5.5884712025429035e-06
Family	468	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae	1.1902255055107807e-05
Family	85019	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae	2.987287700436552e-06
Family	2975441	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae	3.6465821973115354e-06
Family	3046368	Bacteria|Bacillota|Clostridia|Eubacteriales|Aristaeellaceae	0.00016227388800434136
Family	1903414	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae	1.8776371255048057e-05
Family	85030	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales|Geodermatophilaceae	2.5136279008896846e-05
Family	80864	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae	4.301030453458726e-05
Family	76892	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	5.172744575682595e-06
Family	1853232	Bacteria|Bacteroidota|Cytophagia|Cytophagales|Hymenobacteraceae	6.6929732263570475e-06
Family	206349	Bacteria|Pseudomonadota|Hydrogenophilia|Hydrogenophilales|Hydrogenophilaceae	1.4273890742820222e-06
Family	41294	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae	2.567058702307142e-06
Family	1762	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Mycobacteriaceae	0.0008631683078082581
Family	85025	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Nocardiaceae	3.3402524736108716e-06
Family	31989	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Paracoccaceae	3.3940185732369587e-06
