Depth	Taxa_id	Taxonomic_Tree	MetaPhlAn_mean	Kraken_mean	Metaphlan/Kraken(%)
Kingdom	2	Bacteria	0.9954252043234582	1.0	99.54
Phylum	1239	Bacteria|Firmicutes	0.5863977115573895	0.4979165561625679	117.77
Phylum	976	Bacteria|Bacteroidota	0.25078244493149215	0.3427384654073547	73.17
Phylum	1239	Bacteria|Bacillota	0.020211538158023554	0.4979165561625679	4.06
Phylum	201174	Bacteria|Actinobacteria	0.11077653545874833	0.1395069895458209	79.41
Phylum	1224	Bacteria|Proteobacteria	0.018449534553014655	0.010163418949509168	181.53
Phylum	74201	Bacteria|Verrucomicrobia	0.005198060354864168	0.008562482511644315	60.71
Class	200643	Bacteria|Bacteroidota|Bacteroidia	0.24141972415531326	0.3427292253417182	70.44
Class	186801	Bacteria|Bacillota|Clostridia	0.019062098450195828	0.4675111507467632	4.08
Class	84998	Bacteria|Actinobacteria|Coriobacteriia	0.024280500280876628	0.050354846772375436	48.22
Class	526524	Bacteria|Bacillota|Erysipelotrichia	0.0011494414319657188	0.010333970280969903	11.12
Class	909932	Bacteria|Firmicutes|Negativicutes	0.018816075902264882	0.01095196015379351	171.81
Class	28216	Bacteria|Proteobacteria|Betaproteobacteria	0.007298803485887976	0.004765838423679483	153.15
Class	91061	Bacteria|Firmicutes|Bacilli	0.007569177636082645	0.009119474981041391	83.0
Class	203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.004952493108944367	0.008562482511644315	57.84
Class	1760	Bacteria|Actinobacteria|Actinomycetia	0.08325627479839658	0.0891521427734455	93.39
Order	171549	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.24141972415531326	0.3427292253417182	70.44
Order	186802	Bacteria|Bacillota|Clostridia|Eubacteriales	0.019062098450195828	0.4675111507467632	4.08
Order	84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.017367865762775932	0.042409872968988356	40.95
Order	1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.006912636242238799	0.007944973803387047	87.01
Order	526525	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales	0.0011494414319657188	0.010333970280969903	11.12
Order	1843488	Bacteria|Firmicutes|Negativicutes|Acidaminococcales	0.0041655690018974284	0.005239076363068657	79.51
Order	909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.00026338793083672033	7.424160074951403e-05	354.77
Order	213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.002543013795702511	0.0008334375360357564	305.12
Order	80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.007298803485887976	0.004765838423679483	153.15
Order	186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.007540122463012181	0.00893056940852149	84.43
Order	48461	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0.004952493108944367	0.008562482511644315	57.84
Order	2037	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales	0.00045710690188331904	0.0006700606188210109	68.22
Order	85007	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales	2.1760345747257937e-05	0.0009321448848633814	2.33
Family	186803	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae	0.23151567885133886	0.2675518496560586	86.53
Family	31979	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae	0.01719120344192553	0.004722732354728191	364.01
Family	815	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	0.1450897002067319	0.2337002616543253	62.08
Family	84107	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.016275945056873894	0.04060518620801841	40.08
Family	128827	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0.007454215613313367	0.0006540284757304807	1139.74
Family	171550	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae	0.03875105517977074	0.03472873137681888	111.58
Family	1643826	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.006912636242238799	0.007944973803387047	87.01
Family	186806	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae	0.009285903377241278	0.007094432661683708	130.89
Family	2810280	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae	0.0011494414319657188	0.009151552910386749	12.56
Family	186804	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae	0.0028316672805966583	0.004672477433814113	60.6
