Depth	Taxa_id	Taxonomic_Tree	kraken_mean
Phylum	200940	Bacteria|Thermodesulfobacteriota	0.0008334375360357564
Class	117743	Bacteria|Bacteroidota|Flavobacteriia	2.6419333627146296e-06
Class	768503	Bacteria|Bacteroidota|Cytophagia	6.5981322736663516e-06
Class	2008785	Bacteria|Pseudomonadota|Hydrogenophilia	1.4285924512695697e-06
Class	3031852	Bacteria|Campylobacterota|Epsilonproteobacteria	8.427254869156215e-05
Class	28211	Bacteria|Pseudomonadota|Alphaproteobacteria	1.971298367161666e-05
Class	3031449	Bacteria|Thermodesulfobacteriota|Desulfovibrionia	0.0008334375360357564
Order	85011	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales	5.6227307055924185e-06
Order	200644	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales	2.6419333627146296e-06
Order	2887326	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales	1.0246785623663702e-05
Order	1643682	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales	2.5540755285842315e-05
Order	204458	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales	6.26170957699093e-06
Order	768507	Bacteria|Bacteroidota|Cytophagia|Cytophagales	6.5981322736663516e-06
Order	119069	Bacteria|Pseudomonadota|Hydrogenophilia|Hydrogenophilales	1.4285924512695697e-06
Order	204455	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales	2.766995913207193e-06
Order	356	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales	1.0684278181418537e-05
Family	3047432	Bacteria|Bacillota|Clostridia|Eubacteriales|Maliibacteriaceae	0.0003261210703750775
Family	119060	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae	1.53691637150669e-05
Family	85015	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae	5.744531135533657e-06
Family	85026	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Gordoniaceae	4.43171265157427e-06
Family	85023	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae	1.5136428872762442e-05
Family	2062	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales|Streptomycetaceae	5.6227307055924185e-06
Family	2762318	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae	2.6419333627146296e-06
Family	468	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae	1.0246785623663702e-05
Family	85019	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae	3.878618332839748e-06
Family	2975441	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae	5.35798059430451e-06
