Depth	Taxa_id	Taxonomic_Tree	metaphlan_mean
Kingdom	2157	Archaea	0.004474160412651092
Kingdom	2759	Eukaryota	0.00010063965753778267
Phylum	28890	Archaea|Euryarchaeota	0.0043961948936961735
Phylum	1798710	Bacteria|Candidatus_Melainabacteria	0.0008671999895973858
Phylum	256845	Bacteria|Lentisphaerae	0.0007526327829098181
Class	183925	Archaea|Euryarchaeota|Methanobacteria	0.0043961948936961735
Class	28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.002543013795702511
Class	2683628	Eukaryota|Eukaryota_unclassified|Bigyra	9.898793336529902e-05
Class	1737404	Bacteria|Firmicutes|Tissierellia	2.5332759208269847e-05
Class	1313211	Bacteria|Lentisphaerae|Lentisphaeria	0.0006564155398546682
Order	2158	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0.0043961948936961735
Order	42740	Eukaryota|Eukaryota_unclassified|Bigyra|Opalinata	9.898793336529902e-05
Order	1737405	Bacteria|Firmicutes|Tissierellia|Tissierellales	2.5167241963139942e-05
Order	278082	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales	0.0006564155398546682
Family	538999	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis	0.01827532431129585
Family	2159	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0.0043961948936961735
Family	2547934	Eukaryota|Eukaryota_unclassified|Bigyra|Opalinata|Blastocystidae	9.898793336529902e-05
Family	1570339	Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae	2.5167241963139942e-05
Family	990719	Bacteria|Firmicutes|Clostridia|Eubacteriales|Christensenellaceae	0.0001820068983888216
Family	2944142	Bacteria|Firmicutes|Clostridia|Eubacteriales|Bianqueaceae	0.00015301551224449256
Family	255528	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0.0006564155398546682
Family	2944140	Bacteria|Firmicutes|Clostridia|Eubacteriales|Yeguiaceae	1.4146551727128443e-05
Genus	2527773	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis|Candidatus_Cibionibacter	0.01827532431129585
Genus	204475	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Gemmiger	0.014675956951379118
Genus	1407607	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Fusicatenibacter	0.017467343077248513
Genus	2172	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0.004319655242604624
Genus	1573535	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemanella	0.002620632818730681
Genus	2005359	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Faecalicatena	0.001795732767700789
Genus	2137577	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Ellagibacter	0.0006514344817907539
Genus	52225	Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Mitsuokella	0.0002115999991368555
Genus	1473205	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalimassilia	0.0005667396721843902
