Depth	Taxa_id	Taxonomic_Tree	MetaPhlAn_mean	Kraken_mean	Metaphlan/Kraken(%)
Kingdom	2	Bacteria	0.9962981148378516	1.0	99.63
Phylum	976	Bacteria|Bacteroidota	0.24872748045171345	0.3448615500950993	72.12
Phylum	1239	Bacteria|Firmicutes	0.5905556266581394	0.5034599284131142	117.3
Phylum	1224	Bacteria|Proteobacteria	0.01769981451677567	0.009159705458770062	193.24
Phylum	1239	Bacteria|Bacillota	0.0194922251555829	0.5034599284131142	3.87
Phylum	201174	Bacteria|Actinobacteria	0.11040603906500862	0.1336144151631073	82.63
Phylum	74201	Bacteria|Verrucomicrobia	0.005023352654017073	0.007476179758608631	67.19
Class	200643	Bacteria|Bacteroidota|Bacteroidia	0.23862709489407632	0.34485202278826993	69.2
Class	28216	Bacteria|Proteobacteria|Betaproteobacteria	0.007347621085400196	0.00457215554486156	160.7
Class	186801	Bacteria|Bacillota|Clostridia	0.018615021168030165	0.4734245795067473	3.93
Class	909932	Bacteria|Firmicutes|Negativicutes	0.019306451277083667	0.012717687639882616	151.81
Class	1760	Bacteria|Actinobacteria|Actinomycetia	0.08428652960573312	0.08838262773793865	95.37
Class	84998	Bacteria|Actinobacteria|Coriobacteriia	0.02271037655222111	0.0452317874251687	50.21
Class	1236	Bacteria|Proteobacteria|Gammaproteobacteria	0.0020678039579418005	0.004566723366475173	45.28
Class	91061	Bacteria|Firmicutes|Bacilli	0.006789217153058272	0.008210128309030744	82.69
Order	171549	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0.23862709489407632	0.34485202278826993	69.2
Order	80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.007344607927331527	0.00457215554486156	160.64
Order	186802	Bacteria|Bacillota|Clostridia|Eubacteriales	0.018615021168030165	0.4734245795067473	3.93
Order	1843489	Bacteria|Firmicutes|Negativicutes|Veillonellales	0.014581172311039161	0.0071187028425405635	204.83
Order	85004	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales	0.08384762302254752	0.086733556247384	96.67
Order	84999	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.015584150172024793	0.03678329508071352	42.37
Order	135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.00021737368640430572	0.0010559970602394301	20.58
Order	1643822	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	0.007126227695985897	0.008448492344455142	84.35
Order	1843488	Bacteria|Firmicutes|Negativicutes|Acidaminococcales	0.00450941186072351	0.0055386663617920445	81.42
Order	186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.0067666145209618715	0.008056237535337662	83.99
Order	213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0.0026981868421956322	0.0011792620564022578	228.8
Family	815	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	0.14009026356003187	0.23337460718964256	60.03
Family	186803	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae	0.23122532777466734	0.2642041861047981	87.52
Family	171550	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae	0.04313819870189325	0.038175873092307154	113.0
Family	2005519	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae	0.008633834206593251	0.002160497486828007	399.62
Family	31979	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae	0.017889807891928077	0.004333234727247813	412.85
Family	995019	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	0.0071954276652114665	0.004302624749490722	167.23
Family	1853231	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae	0.005349697352847957	0.010884981404399292	49.15
Family	2005525	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae	0.008699380281380441	0.019313312267753152	45.04
Family	31977	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	0.014581172311039161	0.0071187028425405635	204.83
Family	186804	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae	0.0023316631848741497	0.004281503362089309	54.46
Family	186806	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae	0.009708507865942384	0.007316048638249616	132.7
Family	31953	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae	0.08384762302254752	0.086733556247384	96.67
