Depth	Taxa_id	Taxonomic_Tree	kraken_mean
Phylum	200940	Bacteria|Thermodesulfobacteriota	0.0011792620564022578
Class	117743	Bacteria|Bacteroidota|Flavobacteriia	2.9067122249402023e-06
Class	768503	Bacteria|Bacteroidota|Cytophagia	6.62059460456678e-06
Class	2008785	Bacteria|Pseudomonadota|Hydrogenophilia	1.4283074409304139e-06
Class	3031852	Bacteria|Campylobacterota|Epsilonproteobacteria	7.417536988059932e-05
Class	28211	Bacteria|Pseudomonadota|Alphaproteobacteria	1.9398239992391224e-05
Class	3031449	Bacteria|Thermodesulfobacteriota|Desulfovibrionia	0.0011792620564022578
Order	85011	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales	5.625818412374828e-06
Order	200644	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales	2.9067122249402023e-06
Order	2887326	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales	1.0638870489005724e-05
Order	1643682	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales	2.5444958272881547e-05
Order	204458	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales	6.003796813523168e-06
Order	768507	Bacteria|Bacteroidota|Cytophagia|Cytophagales	6.62059460456678e-06
Order	119069	Bacteria|Pseudomonadota|Hydrogenophilia|Hydrogenophilales	1.4283074409304139e-06
Order	204455	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales	2.9155012800563483e-06
Order	356	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales	1.0478941898811703e-05
Family	3047432	Bacteria|Bacillota|Clostridia|Eubacteriales|Maliibacteriaceae	0.00031166415116562615
Family	119060	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae	1.614548709691422e-05
Family	85015	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae	6.053984609437413e-06
Family	85026	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Gordoniaceae	4.409225434887156e-06
Family	85023	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae	1.4084840571518851e-05
Family	2062	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales|Streptomycetaceae	5.625818412374828e-06
Family	2762318	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae	2.9067122249402023e-06
Family	468	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae	1.0638870489005724e-05
Family	85019	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae	3.6675137093758324e-06
Family	2975441	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae	4.9526493950167e-06
Family	3046368	Bacteria|Bacillota|Clostridia|Eubacteriales|Aristaeellaceae	0.00015510189582948548
Family	85030	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales|Geodermatophilaceae	2.5444958272881547e-05
