#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/2b6e5ebb-6f1a-41ac-95e4-246215fea6f9/eb3e98c4-17bb-448c-bcc2-750d0f592835/HV01_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/2b6e5ebb-6f1a-41ac-95e4-246215fea6f9/322abe24-da6b-4f85-a995-7213d131d3d1/HV01_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/2b6e5ebb-6f1a-41ac-95e4-246215fea6f9/d547c42b-6c3f-416f-8c9a-8701710c34a2/metaphlan --bowtie2out HV01.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV01_output.txt --vsc_out HV01_virus.vsc.txt --offline
#97321360 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	14.48942	
k__Bacteria	2	85.51058415174276	
k__Bacteria|p__Firmicutes	2|1239	61.69165369156689	
k__Bacteria|p__Actinobacteria	2|201174	21.43530582482921	
k__Bacteria|p__Bacteroidota	2|976	2.355500204219152	
k__Bacteria|p__Bacillota	2|1239	0.016127296171018685	
k__Bacteria|p__Proteobacteria	2|1224	0.009739655534883502	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0017444159166955524	
k__Bacteria|p__Bacteria_unclassified	2|	0.0005130635049104566	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	18.609198120730944	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.871773882397854	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.826116255156683	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	2.355500204219152	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.558469625095032	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.15491097424929717	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.0342384378943578	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.027235121052330072	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.021283584395368774	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.016127296171018685	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.008482649947852881	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.0059344345401309475	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.0050451244649528226	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.004147263331359524	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.0023686431810032746	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.0017444159166955524	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.0007182889068746393	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0006584314979684192	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.000590023030647025	
