#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/71f673b1-63a7-4bb0-a6fa-f3bf76142616/323328f5-b253-4e5b-b11f-916ea616b56a/HV02_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/71f673b1-63a7-4bb0-a6fa-f3bf76142616/7cec1521-450b-4853-8144-388b6ab7e604/HV02_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/71f673b1-63a7-4bb0-a6fa-f3bf76142616/147295a4-b019-4f34-b4ba-23715a98bff3/metaphlan --bowtie2out HV02.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV02_output.txt --vsc_out HV02_virus.vsc.txt --offline
#105890162 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.48246	
k__Bacteria	2	84.45351002106166	
k__Archaea	2157	0.064030488690188	
k__Bacteria|p__Firmicutes	2|1239	43.70499214930855	
k__Bacteria|p__Bacteroidota	2|976	29.253523836135198	
k__Bacteria|p__Bacillota	2|1239	4.8906919991373	
k__Bacteria|p__Actinobacteria	2|201174	4.455578797084996	
k__Bacteria|p__Verrucomicrobia	2|74201	1.3840254363714923	
k__Bacteria|p__Proteobacteria	2|1224	0.7491972860946443	
k__Archaea|p__Euryarchaeota	2157|28890	0.064030488690188	
k__Bacteria|p__Bacteria_unclassified	2|	0.015508968683539466	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	28.698547858131967	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	4.8906919991373	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.247836959151411	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.8279369143908624	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.5069984578131814	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.3840254363714923	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.8601941720461015	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.581734231328622	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.40184709810766617	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.3798049235427229	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.3478657449840877	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.28883869469207696	
