#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/b3ab7a53-873b-4e9d-b433-33236905cde4/e762e430-5438-4009-b761-98526dd46397/HV11_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/b3ab7a53-873b-4e9d-b433-33236905cde4/9df6f127-7dcf-448f-a204-1858f702d0a7/HV11_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/b3ab7a53-873b-4e9d-b433-33236905cde4/89f55474-9e54-4bc5-b618-2f40dd2ed8e7/metaphlan --bowtie2out HV11.bowtie2.bz2 --nproc 30 --unclassified_estimation -o HV11_output.txt --vsc_out HV11_virus.vsc.txt --offline
#96106796 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.50288	
k__Bacteria	2	81.49711509823932	
k__Bacteria|p__Firmicutes	2|1239	47.191458678018144	
k__Bacteria|p__Bacteroidota	2|976	18.377493508403337	
k__Bacteria|p__Actinobacteria	2|201174	10.085789574943744	
k__Bacteria|p__Bacillota	2|1239	3.935919473092487	
k__Bacteria|p__Proteobacteria	2|1224	1.2652345621886554	
k__Bacteria|p__Bacteria_unclassified	2|	0.61515652418453	
k__Bacteria|p__Verrucomicrobia	2|74201	0.016299423019647864	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.007025051321468228	
k__Bacteria|p__Lentisphaerae	2|256845	0.0024612128759668272	
k__Bacteria|p__Synergistetes	2|508458	0.0002770901913340137	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	14.099196505071637	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.054665171993493	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.278182907370563	
k__Bacteria|p__Bacteroidota|c__CFGB343	2|976|	3.9579236941690117	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	3.935919473092487	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.64529855955073	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.8504327468630728	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.1720263116507992	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.052380396975074	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.7361715903939056	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.7198314188167086	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.61515652418453	
k__Bacteria|p__Actinobacteria|c__CFGB77156	2|201174|	0.5120545238737475	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.41847953631794904	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.3843403948032966	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.37106451475379343	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.3361511506457077	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.32036515945117877	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.2451514719270137	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.2413781554979652	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.20410952476354036	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.14877298361183586	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.13296254328277743	
k__Bacteria|p__Actinobacteria|c__CFGB2801	2|201174|	0.12366372245006835	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.1082933665425404	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.10018440359026559	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.08095923413859094	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.07487139964075246	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.06277722776017375	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.05972108594398977	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.05960698998285223	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.05904465988867438	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.05362510173464147	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.04789585454323525	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.04099304889441437	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.04087080322176702	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.04011288005135339	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.035084508049792025	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.03026802854748608	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.028198001823990803	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.025223357122905066	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.023275576072057148	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.019021426663929055	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.01842649772371191	
