#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/2491bfda-d6b3-4ba9-a4a6-6bc9318183a9/f37033e2-31d7-4106-b5a8-dbe9ff563e8f/MAV11T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/2491bfda-d6b3-4ba9-a4a6-6bc9318183a9/1d80bde2-145a-4104-ac5e-1e808854fb49/MAV11T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/2491bfda-d6b3-4ba9-a4a6-6bc9318183a9/ba36b984-8474-4bda-ae8e-6ffcef0bd6a0/metaphlan --bowtie2out MAV11T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV11T0_output.txt --vsc_out MAV11T0_virus.vsc.txt --offline
#72612072 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	11.19761	
k__Bacteria	2	85.94481841980078	
k__Archaea	2157	2.8575721253524873	
k__Bacteria|p__Firmicutes	2|1239	53.56896758743812	
k__Bacteria|p__Actinobacteria	2|201174	22.579313191246232	
k__Bacteria|p__Bacteroidota	2|976	8.124228782848219	
k__Archaea|p__Euryarchaeota	2157|28890	2.8575721253524873	
k__Bacteria|p__Bacteria_unclassified	2|	0.6691348929967844	
k__Bacteria|p__Verrucomicrobia	2|74201	0.5292622476491134	
k__Bacteria|p__Proteobacteria	2|1224	0.36438284912392743	
k__Bacteria|p__Bacillota	2|1239	0.08471748058007622	
k__Bacteria|p__Synergistetes	2|508458	0.0188882684689541	
k__Bacteria|p__Lentisphaerae	2|256845	0.004546682395911848	
k__Bacteria|p__Tenericutes	2|544448	0.0013764370534498757	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	18.600637525978353	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.216931038719418	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	5.493546765338599	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.8575721253524873	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.599840947273289	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.3077610045312253	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.5432878650451642	
k__Bacteria|p__Bacteroidota|c__CFGB343	2|976|	1.3408716960365419	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.1258988690048348	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.8340142915219706	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.7861498030181329	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.6691348929967844	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.5926937952155165	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.4561157185570708	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.3520037958819331	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.3107018040393823	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.27702793754466015	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.2747901173029223	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.24163130467336208	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.2403081490542393	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.2360456343080719	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.2320228860163765	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.1869734332928202	
k__Bacteria|p__Verrucomicrobia|c__CFGB2164	2|74201|	0.17725845176718047	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.15326404584188003	
