#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/c6979b82-910f-494c-a8c0-9db154851684/b24f9bdd-77ca-4e14-8060-b9e47bea551f/MAV19T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/c6979b82-910f-494c-a8c0-9db154851684/f868acdc-5ae8-4ff1-9990-927ec638cbb2/MAV19T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/c6979b82-910f-494c-a8c0-9db154851684/d5b3a879-c5a3-4947-862a-23ca3b500f52/metaphlan --bowtie2out MAV19T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV19T0_output.txt --vsc_out MAV19T0_virus.vsc.txt --offline
#61211742 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	14.49129	
k__Bacteria	2	85.50870934402528	
k__Bacteria|p__Firmicutes	2|1239	57.405382727534196	
k__Bacteria|p__Bacteroidota	2|976	17.726058057467654	
k__Bacteria|p__Actinobacteria	2|201174	5.3957192718010765	
k__Bacteria|p__Bacillota	2|1239	3.306117288948328	
k__Bacteria|p__Proteobacteria	2|1224	0.6176550602046978	
k__Bacteria|p__Tenericutes	2|544448	0.5804074664144404	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.3523215351101874	
k__Bacteria|p__Lentisphaerae	2|256845	0.06207077211282795	
k__Bacteria|p__Verrucomicrobia	2|74201	0.045105844178973335	
k__Bacteria|p__Bacteria_unclassified	2|	0.01593882342172631	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0019410477021093737	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	17.58749119397566	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.8577168711847665	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	3.306117288948328	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.338074487299045	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.062018170052794	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.5626986127092928	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.5560887894769996	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.43600035807425047	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.3523215351101874	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.284803858212145	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.25178039466348245	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.24782989229178845	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.2022024449858166	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.1999193624463311	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.19807237432450017	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.18810205881498682	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.16593820135301546	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.13856686349199296	
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.1139403552009137	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.0919988203832368	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.0862440842443839	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.08343939857789986	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07932642965845225	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07531607119021747	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.07110049181955702	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.062387154337400844	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.062258891273384805	
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	0.05096319076903907	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.048868227390110444	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.04664500094716579	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.045935278659610376	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.045105844178973335	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.044515834084499564	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.044165248376189056	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.04049692474533037	
k__Bacteria|p__Proteobacteria|c__CFGB2874	2|1224|	0.04049692474533037	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.038735445332843454	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.03705947462970055	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.03561437744178653	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.03329709141856345	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.03063777055796426	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.026909590830564753	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.02431867693744079	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.024224617357162363	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.02391678600352387	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.01965845227819141	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.019145400022127262	
