#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/5fbaa435-c14c-4b03-b134-8a3198c9f918/9c5c688e-233a-41e0-84ed-df9c26a3e2cf/MAV28T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/5fbaa435-c14c-4b03-b134-8a3198c9f918/db2bba84-9c62-4fde-b40a-75880a81c275/MAV28T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/5fbaa435-c14c-4b03-b134-8a3198c9f918/40644470-be7b-4079-b1e5-5716073bfc75/metaphlan --bowtie2out MAV28T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV28T0_output.txt --vsc_out MAV28T0_virus.vsc.txt --offline
#106751774 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	12.27239	
k__Bacteria	2	83.20612399142	
k__Archaea	2157	4.4944260288482765	
k__Eukaryota	2759	0.027063968915663244	
k__Bacteria|p__Firmicutes	2|1239	52.807830241540046	
k__Bacteria|p__Bacteroidota	2|976	15.069472302321863	
k__Bacteria|p__Actinobacteria	2|201174	5.849264981013036	
k__Archaea|p__Euryarchaeota	2157|28890	4.4944260288482765	
k__Bacteria|p__Bacillota	2|1239	2.7590685510054302	
k__Bacteria|p__Verrucomicrobia	2|74201	2.2323782748985668	
k__Bacteria|p__Proteobacteria	2|1224	1.7634478598421819	
k__Bacteria|p__Tenericutes	2|544448	1.3360827882938726	
k__Bacteria|p__Lentisphaerae	2|256845	0.7439652576738754	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.6446137348311247	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.027063968915663244	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	10.689083398898127	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	5.804611625492541	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.845257529952421	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	4.4944260288482765	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	4.411549751912694	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.7590685510054302	
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	2.206059990701812	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.040342527876243	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	1.6879582480044892	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.551462853398718	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	1.252504690446377	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	1.175304390135895	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	1.155109493395585	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	1.0193422379859238	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.917955434498624	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.7898380270288198	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.7640197902318029	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.7544750258297798	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.5942931754469287	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.5794145721143632	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.5247602685991015	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.5108554417818159	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5028722289088001	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2102	2|1798710|	0.38472067838816726	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.3033357708904013	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.29223822772076957	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.2749646605262992	
k__Bacteria|p__Bacteroidota|c__CFGB529	2|976|	0.27159592014911454	
