#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/e8295dc2-bb91-4848-baba-5634ea5fd4a4/00cc22bf-c816-4823-ac70-73aec9a54e9f/MAV32T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/e8295dc2-bb91-4848-baba-5634ea5fd4a4/8944b734-1564-438c-82f4-8bb61e322244/MAV32T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/e8295dc2-bb91-4848-baba-5634ea5fd4a4/1ae9a3b8-7413-49b9-857d-6c78084b9416/metaphlan --bowtie2out MAV32T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MAV32T0_output.txt --vsc_out MAV32T0_virus.vsc.txt --offline
#65171628 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	17.93912	
k__Bacteria	2	82.0608778669694	
k__Bacteria|p__Firmicutes	2|1239	40.96304233449256	
k__Bacteria|p__Bacteroidota	2|976	35.9357549798162	
k__Bacteria|p__Proteobacteria	2|1224	3.3071846754434544	
k__Bacteria|p__Actinobacteria	2|201174	1.4327583092939258	
k__Bacteria|p__Bacillota	2|1239	0.4091965674836429	
k__Bacteria|p__Bacteria_unclassified	2|	0.012941000439621075	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	35.30337744279776	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.0583186511362963	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.825109842326156	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.3850234966387096	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.1521019009011038	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.9625330669406176	
k__Bacteria|p__Bacteroidota|c__CFGB668	2|976|	0.6323857431062264	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.4091965674836429	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2645150337163892	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.23883818503181445	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.21663251148101254	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.04894931364764725	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.047751224830789495	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.03462148437207439	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.02196769700498771	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.021811781337040467	
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.01835701837884106	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.017388700020010816	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.016141374676432882	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.012941000439621075	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.010027839275343661	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.006827465038531854	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.006745404160664885	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.006097123225515827	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.0035450299238530786	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.0031183133589448376	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.0016330114695526912	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.00014770958016054495	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	35.30337744279776	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	3.0583186511362963	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	2.825109842326156	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.3850234966387096	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.1511910251567803	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.7405337740471053	
k__Bacteria|p__Bacteroidota|c__CFGB668|o__OFGB668	2|976||	0.6323857431062264	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.4091965674836429	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.23883818503181445	
k__Bacteria|p__Firmicutes|c__CFGB9272|o__OFGB9272	2|1239||	0.21663251148101254	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.1979882800296371	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.18604842229999305	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.07846661141639615	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.04894931364764725	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.047751224830789495	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.03462148437207439	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.024019218951661946	
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559	2|1239||	0.02196769700498771	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	0.021811781337040467	
k__Bacteria|p__Firmicutes|c__CFGB15212|o__OFGB15212	2|1239||	0.01835701837884106	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.017388700020010816	
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988	2|201174||	0.016141374676432882	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.012941000439621075	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.007475745973680913	
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363	2|1239||	0.006827465038531854	
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.006745404160664885	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.006097123225515827	
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072	2|1239||	0.0035450299238530786	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.0031183133589448376	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.0025520933016627487	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.0016330114695526912	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.0016248053817659943	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.0009108757443233604	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	2|1239||	0.00014770958016054495	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	17.865539369120203	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	17.274996467638346	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.100676461527467	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	5.589535665469687	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	3.0583186511362963	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	2|1239|||	2.825109842326156	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	2.7119396856598184	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	2.2952181356757744	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.3614227881641694	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.3169047619213383	
