#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/70aa79e6-8def-420e-beb1-6d4a734ce320/674a2f0d-dd6a-43da-95b4-150694b44f92/MBCTRL17_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/70aa79e6-8def-420e-beb1-6d4a734ce320/470c14fe-849e-4708-8466-ccf49eb2807b/MBCTRL17_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/70aa79e6-8def-420e-beb1-6d4a734ce320/e393d8ce-7834-4544-9b20-29c7c7369e67/metaphlan --bowtie2out MBCTRL17.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MBCTRL17_output.txt --vsc_out MBCTRL17_virus.vsc.txt --offline
#60417678 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.6759	
k__Bacteria	2	84.32410079068298	
k__Bacteria|p__Bacteroidota	2|976	42.54798493984029	
k__Bacteria|p__Firmicutes	2|1239	38.1319402138423	
k__Bacteria|p__Actinobacteria	2|201174	1.6134151824785328	
k__Bacteria|p__Bacillota	2|1239	1.0822661040080999	
k__Bacteria|p__Proteobacteria	2|1224	0.7963483754571309	
k__Bacteria|p__Verrucomicrobia	2|74201	0.12145200236882069	
k__Bacteria|p__Lentisphaerae	2|256845	0.01762373706525274	
k__Bacteria|p__Bacteria_unclassified	2|	0.010717593210495808	
k__Bacteria|p__Tenericutes	2|544448	0.002352642412060055	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	38.756984178543156	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	3.4780318612125103	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.4037686030927368	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.0822661040080999	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.8047723531261202	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.6168055000536087	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.3275822667516452	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.18410480925629813	
k__Bacteria|p__Bacteroidota|c__CFGB529	2|976|	0.17643974849442506	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.16860603953097061	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.14982706228488551	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.13992741285205934	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.1287038750368194	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.11927644056842106	
