#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/cdb8cd45-94bb-469a-a16b-7f57d8223add/80d1c56e-9d69-497f-ab16-f54fcb1c8dc5/MS10_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/cdb8cd45-94bb-469a-a16b-7f57d8223add/40fc2991-8d86-4a61-b4ac-0de4dcf84988/MS10_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/cdb8cd45-94bb-469a-a16b-7f57d8223add/c3ffb3a4-df25-439d-9fd0-b9352233d66f/metaphlan --bowtie2out MS10.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS10_output.txt --vsc_out MS10_virus.vsc.txt --offline
#68323872 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	26.30216	
k__Bacteria	2	73.6789556265771	
k__Archaea	2157	0.018888757515642975	
k__Bacteria|p__Firmicutes	2|1239	39.20538865687443	
k__Bacteria|p__Bacteroidota	2|976	23.02871181456607	
k__Bacteria|p__Proteobacteria	2|1224	6.390981257790825	
k__Bacteria|p__Actinobacteria	2|201174	2.102621609631482	
k__Bacteria|p__Bacillota	2|1239	1.7261066924575903	
k__Bacteria|p__Verrucomicrobia	2|74201	0.6351501322554266	
k__Bacteria|p__Lentisphaerae	2|256845	0.5411190526057627	
k__Bacteria|p__Tenericutes	2|544448	0.045080971409749544	
k__Archaea|p__Euryarchaeota	2157|28890	0.018888757515642975	
k__Bacteria|p__Bacteria_unclassified	2|	0.0037954389857807773	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	22.23883305802624	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	5.898097444334451	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.7261066924575903	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.6201070828799498	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.3784297417911942	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.229980173848316	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.9151503524239102	
