#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/b7cacfda-6562-4fb8-936d-2c25f9f37af0/7b25d255-7c4e-490c-a815-a45bfc7e8a15/MS15_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/b7cacfda-6562-4fb8-936d-2c25f9f37af0/8107364b-36f3-435d-87df-ec3533ed970b/MS15_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/b7cacfda-6562-4fb8-936d-2c25f9f37af0/fa4ebea1-52af-488b-ad5e-63c82ec76c2b/metaphlan --bowtie2out MS15.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS15_output.txt --vsc_out MS15_virus.vsc.txt --offline
#90595838 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	21.09041	
k__Bacteria	2	78.90958734861819	
k__Bacteria|p__Firmicutes	2|1239	51.912163428489364	
k__Bacteria|p__Bacteroidota	2|976	12.3239888786849	
k__Bacteria|p__Actinobacteria	2|201174	11.253753927393063	
k__Bacteria|p__Bacillota	2|1239	3.0761403345699176	
k__Bacteria|p__Proteobacteria	2|1224	0.32927392608831396	
k__Bacteria|p__Lentisphaerae	2|256845	0.0068098973881857506	
k__Bacteria|p__Bacteria_unclassified	2|	0.005018649755372117	
k__Bacteria|p__Tenericutes	2|544448	0.0013414629849265091	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0011047342228806547	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.572240439153584	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	7.960446517481013	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	3.8525475464104417	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	3.0761403345699176	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.3020530645974433	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.6371845544741908	
