#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/e9f10afa-33c7-4c0d-a952-8f42d2a3be73/e5136d4d-e78b-4988-9c30-b566b41f24ff/MS20_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/e9f10afa-33c7-4c0d-a952-8f42d2a3be73/e2ee988c-ef80-4508-8459-77b7d3633133/MS20_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/e9f10afa-33c7-4c0d-a952-8f42d2a3be73/47d73864-51e4-415e-ab10-fc0e9a6572ee/metaphlan --bowtie2out MS20.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS20_output.txt --vsc_out MS20_virus.vsc.txt --offline
#102395188 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	13.33265	
k__Bacteria	2	85.42345877623738	
k__Archaea	2157	1.24389316879102	
k__Bacteria|p__Firmicutes	2|1239	39.8038533955563	
k__Bacteria|p__Actinobacteria	2|201174	26.92257154331868	
k__Bacteria|p__Bacteroidota	2|976	18.148715501811783	
k__Archaea|p__Euryarchaeota	2157|28890	1.24389316879102	
k__Bacteria|p__Verrucomicrobia	2|74201	0.22603712060782855	
k__Bacteria|p__Proteobacteria	2|1224	0.21490903261808691	
k__Bacteria|p__Bacillota	2|1239	0.0629118307768961	
k__Bacteria|p__Lentisphaerae	2|256845	0.03648695516885695	
k__Bacteria|p__Bacteria_unclassified	2|	0.00799072984933162	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	25.094003084836107	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	18.148715501811783	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	4.160422896445115	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.9217618620290595	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.7503078396762097	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	1.4215179066023558	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.24389316879102	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.6395357234727536	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.5920160144012945	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.3816570177603215	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.22603712060782855	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.19545221210642802	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.14664115949098802	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.09624409433495403	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.0955594222545883	
