#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/e72ecee6-c2e6-4fa7-b231-4817e73917b2/64e37c15-f6ba-4883-a70f-d9a87615941b/MS3_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/e72ecee6-c2e6-4fa7-b231-4817e73917b2/885bbd76-8302-4aff-a592-2a9d2a0ed5ea/MS3_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/e72ecee6-c2e6-4fa7-b231-4817e73917b2/ec6b3a04-a471-438e-b633-1f4ff85db732/metaphlan --bowtie2out MS3.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS3_output.txt --vsc_out MS3_virus.vsc.txt --offline
#75886032 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	21.22129	
k__Bacteria	2	78.63134001932958	
k__Archaea	2157	0.14737133533116384	
k__Bacteria|p__Bacteroidota	2|976	38.23028449716925	
k__Bacteria|p__Firmicutes	2|1239	36.75870604693532	
k__Bacteria|p__Proteobacteria	2|1224	1.7494782324086284	
k__Bacteria|p__Actinobacteria	2|201174	1.1313331958931476	
k__Bacteria|p__Bacillota	2|1239	0.5451250489608459	
k__Archaea|p__Euryarchaeota	2157|28890	0.14737133533116384	
k__Bacteria|p__Lentisphaerae	2|256845	0.07524942508597195	
k__Bacteria|p__Bacteria_unclassified	2|	0.07460343965286373	
k__Bacteria|p__Verrucomicrobia	2|74201	0.06300721334145766	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0035529198820951997	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	38.21642732184197	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	3.867924437317946	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.4490950060133072	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.4305032301336071	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.0508213528886843	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.6451346230255878	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.6438899193861841	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.5451250489608459	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.3170055344911548	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.2910715827132005	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.18949431229250097	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.1518144546515667	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.14737133533116384	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.12113802445006182	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.11327590905686669	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.10002532980701274	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.07524942508597195	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.07460343965286373	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.07232673489471403	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.06300721334145766	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.036316985934498607	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.03182659938728294	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.031385438603696844	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.021018160189423485	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.020064937782032093	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.019151104730318027	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.015621818461629227	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.012911830791028894	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.012801540595132372	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.012643983172423049	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.010769049842182124	
