#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/ea9cbf30-d3c2-4059-bd3d-f67a50d87d19/d2ea2eed-a500-4ef5-916b-e46f1b3cd741/MS8_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/ea9cbf30-d3c2-4059-bd3d-f67a50d87d19/64064de3-0c3c-42d1-9756-f32d2aa54fb4/MS8_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/ea9cbf30-d3c2-4059-bd3d-f67a50d87d19/60684b9a-6aae-47db-9be9-ba319ce9f31a/metaphlan --bowtie2out MS8.bowtie2.bz2 --nproc 30 --unclassified_estimation -o MS8_output.txt --vsc_out MS8_virus.vsc.txt --offline
#67800946 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	24.43504	
k__Bacteria	2	75.5649564730763	
k__Bacteria|p__Bacteroidota	2|976	40.7260582204773	
k__Bacteria|p__Firmicutes	2|1239	26.82167550917937	
k__Bacteria|p__Proteobacteria	2|1224	5.4389539850539075	
k__Bacteria|p__Bacillota	2|1239	1.3149964855357683	
k__Bacteria|p__Actinobacteria	2|201174	1.0393959762871643	
k__Bacteria|p__Lentisphaerae	2|256845	0.21734748430350934	
k__Bacteria|p__Bacteria_unclassified	2|	0.005576693787713031	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.000959674947208069	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	39.685808360181994	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	2.2009275917217623	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.3575471125257574	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.3149964855357683	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.2632269338560638	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	1.0402498602953103	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.035678180428689	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.027910102903257	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	0.6339748718178154	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.5466671211088231	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.49272885517834125	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.21734748430350934	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.21012347446468324	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.19822955031582104	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.0788369190883605	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.046328874813643076	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.04184787289478965	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.04137937016465658	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.02968191490262437	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.029168073198607453	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02612280545274247	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.024815531705758256	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.021656916525183666	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.017606634858226777	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.0166394034153714	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.015657058981221408	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.015453033598744103	
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.011160944071073368	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.009188698707126079	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.0074280352213034	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.006415464804564177	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.005576693787713031	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.004412993458027655	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.004382767475438425	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.003740465345417277	
k__Bacteria|p__Firmicutes|c__CFGB45555	2|1239|	0.003400423041288433	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.0028639118503295917	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.0028487988590349764	
k__Bacteria|p__Firmicutes|c__CFGB30328	2|1239|	0.0028185728764457455	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.0027203384330307463	
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	0.00216871425077729	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.000959674947208069	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.0008463275124984544	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.0007027540951996096	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.000672528112610379	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0004987287127223035	
