#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/3191e3c0-e56b-42bd-ba89-07bf047a4873/527be751-f81a-4287-af5d-eadd2a391ca6/NBCTRL18_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/3191e3c0-e56b-42bd-ba89-07bf047a4873/d36b2598-8be3-47e4-b163-aa25430fb7d8/NBCTRL18_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/3191e3c0-e56b-42bd-ba89-07bf047a4873/7157a8ac-831c-49b5-8ebd-760948a9a2af/metaphlan --bowtie2out NBCTRL18.bowtie2.bz2 --nproc 30 --unclassified_estimation -o NBCTRL18_output.txt --vsc_out NBCTRL18_virus.vsc.txt --offline
#21750276 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	19.34318	
k__Bacteria	2	80.51165717262417	
k__Archaea	2157	0.14516615061716975	
k__Bacteria|p__Firmicutes	2|1239	34.750468059466925	
k__Bacteria|p__Bacteroidota	2|976	32.34161170250666	
k__Bacteria|p__Proteobacteria	2|1224	3.241242839338447	
k__Bacteria|p__Tenericutes	2|544448	2.5957220852355496	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	2.108740383056815	
k__Bacteria|p__Verrucomicrobia	2|74201	2.0547970996182316	
k__Bacteria|p__Actinobacteria	2|201174	1.5455702455669476	
k__Bacteria|p__Bacillota	2|1239	1.2005122897077887	
k__Bacteria|p__Lentisphaerae	2|256845	0.6446496604110064	
k__Archaea|p__Euryarchaeota	2157|28890	0.14516615061716975	
k__Bacteria|p__Synergistetes	2|508458	0.022148363684562068	
k__Bacteria|p__Bacteria_unclassified	2|	0.0061944440312249344	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	29.785322738193848	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	5.761139444967817	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	3.6241530423832025	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	3.527872992382249	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.741154403369686	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	2.5957220852355496	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	2.108740383056815	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	1.953403407018585	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	1.738267462168503	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.2005122897077887	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.1488838570985818	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.6919790843370843	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.5362791525938992	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.5210995384444653	
k__Bacteria|p__Lentisphaerae|c__CFGB2345	2|256845|	0.37348948608060134	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.32533736255662626	
k__Bacteria|p__Firmicutes|c__CFGB1012	2|1239|	0.2718215602816556	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.271160174330405	
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.24334163596621913	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.22054801769507112	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.21140153393021555	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.18527678885581766	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.15893427035844704	
k__Bacteria|p__Firmicutes|c__CFGB2937	2|1239|	0.15372383957176566	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.14694866641261337	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.14516615061716975	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1414720681089653	
k__Bacteria|p__Firmicutes|c__CFGB2845	2|1239|	0.13146255633455103	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.1181461148038839	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.11194360509032665	
k__Bacteria|p__Bacteroidota|c__CFGB536	2|976|	0.10589434334108354	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.08848053518559575	
k__Bacteria|p__Bacteroidota|c__CFGB529	2|976|	0.0728895712372132	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.06903417508236226	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06867928505974	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.058968203531621737	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.05890367807296314	
k__Bacteria|p__Firmicutes|c__CFGB2983	2|1239|	0.05198332263182903	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.04623249112888193	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.042699722267323964	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.03727958374000214	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.033287070985501696	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.0316174747427106	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.03130291313174996	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.03012532351123064	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.0223580714252025	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.022148363684562068	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.02146278068631452	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.021172416122350848	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.02101110247570437	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.01993030104317293	
k__Bacteria|p__Firmicutes|c__CFGB2831	2|1239|	0.019777053078858776	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.018381690035366702	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.017897749095427254	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.01336483562466109	
k__Bacteria|p__Verrucomicrobia|c__CFGB2164	2|74201|	0.012905091731718613	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.009767541304444525	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.009436848328819237	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.007339770922414962	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0061944440312249344	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.003944118660506501	
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.0032746670269235985	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.002540689934682102	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.0024680987936911846	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.0023309821940416748	
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.0016453991957941234	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.0002177734229727516	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.785322738193848	
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	5.761139444967817	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	3.6241530423832025	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	2|1239||	3.527872992382249	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	2.741154403369686	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	2.5957220852355496	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	2|1798710||	2.108740383056815	
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	2|74201|414999|415001	1.953403407018585	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	1.738267462168503	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.2005122897077887	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.1488838570985818	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.6919790843370843	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.5362791525938992	
