#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/8dc86feb-5eaa-4752-9311-d1cd6fbafc14/2cd7b7db-5f20-4d6b-9884-8880fcadcf45/TEC01T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/8dc86feb-5eaa-4752-9311-d1cd6fbafc14/be8a0807-ba50-49a1-bd88-b2dbb2d90af4/TEC01T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/8dc86feb-5eaa-4752-9311-d1cd6fbafc14/46b0ce43-09a0-4520-939c-4611bf881ecf/metaphlan --bowtie2out TEC01T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC01T0_output.txt --vsc_out TEC01T0_virus.vsc.txt --offline
#67852642 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	12.82134	
k__Bacteria	2	86.9603964684466	
k__Archaea	2157	0.218260485550026	
k__Bacteria|p__Bacteroidota	2|976	48.209936781411265	
k__Bacteria|p__Firmicutes	2|1239	30.584312840034745	
k__Bacteria|p__Actinobacteria	2|201174	5.412268970346496	
k__Bacteria|p__Proteobacteria	2|1224	1.7260066397037026	
k__Bacteria|p__Lentisphaerae	2|256845	0.5226883556333822	
k__Bacteria|p__Bacillota	2|1239	0.4688816885613755	
k__Archaea|p__Euryarchaeota	2157|28890	0.218260485550026	
k__Bacteria|p__Verrucomicrobia	2|74201	0.021010056325913188	
k__Bacteria|p__Bacteria_unclassified	2|	0.01528241856403561	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	48.04275427097058	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	8.52781622323995	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.39335098146527	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	2.021455108120797	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.1844353869740845	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.9707517809141434	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.5415712527296179	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.5226883556333822	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.4688816885613755	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.2871926496035511	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.218260485550026	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.14121198853408376	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.13795150676400428	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.12220704131811248	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.10802307383169724	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.09594011197787329	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07896642746893015	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.07134701285115085	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.06442502748900351	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.06409374859257833	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.06123428864448723	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.05360615616101253	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.04757339309979596	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.03691144335432218	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.025970521906595597	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.02280593665916552	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.021010056325913188	
k__Bacteria|p__Firmicutes|c__CFGB2890	2|1239|	0.018202903571994496	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.017854188944178513	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.017758292421529116	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.017139323957155738	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.016372151775960568	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.01528241856403561	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.012701930318197309	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.011725529360312547	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.009389141353945437	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.008029154305463089	
