#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/da0c94a7-c521-4b58-bb55-4bca3c7c20ee/5a8a8e25-e808-43b4-875f-b6c3cfc4edc3/TEC03T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/da0c94a7-c521-4b58-bb55-4bca3c7c20ee/d60983a8-3602-47f2-9d97-6117c7c809b8/TEC03T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/da0c94a7-c521-4b58-bb55-4bca3c7c20ee/120916d9-8d68-49fb-ac6a-023fba5b6b08/metaphlan --bowtie2out TEC03T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC03T0_output.txt --vsc_out TEC03T0_virus.vsc.txt --offline
#84375064 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	11.34888	
k__Bacteria	2	88.65111789338081	
k__Bacteria|p__Firmicutes	2|1239	53.265465684195135	
k__Bacteria|p__Bacteroidota	2|976	32.05074786093711	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	1.143714667277874	
k__Bacteria|p__Spirochaetes	2|203691	0.8842949009864737	
k__Bacteria|p__Proteobacteria	2|1224	0.5320662793724931	
k__Bacteria|p__Actinobacteria	2|201174	0.4315447767931885	
k__Bacteria|p__Bacillota	2|1239	0.16235565730993762	
k__Bacteria|p__Verrucomicrobia	2|74201	0.1553433538845712	
k__Bacteria|p__Bacteria_unclassified	2|	0.014946578476824006	
k__Bacteria|p__Tenericutes	2|544448	0.010310125011000188	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.000328009136205509	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	18.603711908391432	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	9.12388440246886	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	2.9827998381996377	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	2.8227402448431387	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.78669470030769	
