#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/cb6b8985-8a23-4d51-9c85-6ceed1b9b286/4d5c914e-cd96-4805-86bc-af7bad8ec21f/TEC06T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/cb6b8985-8a23-4d51-9c85-6ceed1b9b286/41ced537-9a05-4f69-8673-ade67b22f529/TEC06T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/cb6b8985-8a23-4d51-9c85-6ceed1b9b286/1cc42f7b-db39-4a72-b972-17f75bb07105/metaphlan --bowtie2out TEC06T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC06T0_output.txt --vsc_out TEC06T0_virus.vsc.txt --offline
#86436086 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.2622	
k__Bacteria	2	84.72968389123025	
k__Eukaryota	2759	0.008117881409818919	
k__Bacteria|p__Actinobacteria	2|201174	43.74822045467418	
k__Bacteria|p__Firmicutes	2|1239	31.540630044122164	
k__Bacteria|p__Bacteroidota	2|976	7.422667062735648	
k__Bacteria|p__Proteobacteria	2|1224	1.411935148256438	
k__Bacteria|p__Bacillota	2|1239	0.591961335623309	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.014269845818512589	
k__Eukaryota|p__Ascomycota	2759|4890	0.008117881409818919	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	42.36342682432553	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	7.422667062735648	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.9257173879643092	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.1519256772972692	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.9266841264054146	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.591961335623309	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.4278665824905915	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.4259091392696435	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.23286795305139218	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.10145657006238197	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0573759655802546	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.024726490557256373	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.012371719058805452	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.008117881409818919	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.005618116257526036	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.002169287725379586	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	2|95818|2093818	0.0018981267597071375	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	42.25708088310086	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.422667062735648	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.8787048555408488	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.0856268211903557	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.9266841264054146	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.591961335623309	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.42676499106754723	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.4259091392696435	
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988	2|201174||	0.23286795305139218	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.10145657006238197	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.08222956284016993	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.06629885610691359	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.0573759655802546	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.047012532423460714	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.024726490557256373	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	0.020701444973055972	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.012371719058805452	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.008117881409818919	
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.005618116257526036	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.0028217687990289148	
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.002169287725379586	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales	2|95818|2093818|2093825	0.0018981267597071375	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.001101591423044321	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.0005931646124084806	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	42.25708088310086	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	18.814223968436973	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	5.0835986777244	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	4.394722718213723	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	2.2269263781453357	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	2.1570261654630847	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.084677757810502	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.9266841264054146	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.8940600727229483	
