#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/ea8ae0c6-454e-4bec-a6a1-a256967ea857/dcd10d22-5463-4adc-855a-1ab9b0e0e338/TEC11T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/ea8ae0c6-454e-4bec-a6a1-a256967ea857/7ec1bb51-844d-4aa0-8d04-177223083769/TEC11T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/ea8ae0c6-454e-4bec-a6a1-a256967ea857/50adf00c-008a-48bb-8975-0853635befec/metaphlan --bowtie2out TEC11T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC11T0_output.txt --vsc_out TEC11T0_virus.vsc.txt --offline
#77326646 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	14.30418	
k__Bacteria	2	85.47422812622139	
k__Archaea	2157	0.22159225233487073	
k__Bacteria|p__Firmicutes	2|1239	50.48320211503858	
k__Bacteria|p__Actinobacteria	2|201174	23.185569795832894	
k__Bacteria|p__Bacteroidota	2|976	7.571302856683785	
k__Bacteria|p__Bacillota	2|1239	2.305945982656381	
k__Bacteria|p__Verrucomicrobia	2|74201	1.05570395040751	
k__Bacteria|p__Proteobacteria	2|1224	0.6291444348912086	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.23062459180277062	
k__Archaea|p__Euryarchaeota	2157|28890	0.22159225233487073	
k__Bacteria|p__Lentisphaerae	2|256845	0.00746410595497225	
k__Bacteria|p__Bacteria_unclassified	2|	0.005270292953281209	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	20.297509244509055	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	7.071087783552114	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.961656121864942	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	2.305945982656381	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.244159296163442	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.048822576031112	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.676602780216853	
k__Bacteria|p__Actinobacteria|c__CFGB77156	2|201174|	0.5980882695860198	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.4569386838404998	
k__Bacteria|p__Bacteroidota|c__CFGB1458	2|976|	0.260215358579486	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.2525370130735674	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.23062459180277062	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.22159225233487073	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.21527647037297115	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.20018543640430742	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.19926849112625686	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.12959778915849063	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.09899581170130818	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.08676701813328822	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.07764041326297197	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0754123219331295	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.07307282603679492	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.06491458393675636	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.06290930173989814	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.06261793595061105	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.06157244694199267	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05529094330824449	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.053585596482711224	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.04681562667280528	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.04581298557437617	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.04294217559169454	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.03545236089060872	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.032984321263706304	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.030250624593630357	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.02956505803060191	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.0269599050910938	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.026042959813043245	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.019949986984127893	
k__Bacteria|p__Firmicutes|c__CFGB78317	2|1239|	0.019821443253560063	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01796184395134539	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.01729341655239265	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.016145092559319996	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.015390969339988703	
k__Bacteria|p__Firmicutes|c__CFGB51922	2|1239|	0.014105532034310359	
k__Bacteria|p__Firmicutes|c__CFGB24517	2|1239|	0.011817453630202908	
k__Bacteria|p__Firmicutes|c__CFGB52309	2|1239|	0.009623640628511867	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.009409401077565476	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.009306566093111208	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.007858306728713607	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.00746410595497225	
k__Bacteria|p__Verrucomicrobia|c__CFGB2164	2|74201|	0.006881374376398068	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.00581874620370397	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.0057758982935146915	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.005630215398871146	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.005270292953281209	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.0047732571950855835	
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.0034449719792179613	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.0028965187287952015	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.0022023825837288956	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.0018424601381389594	
k__Bacteria|p__Firmicutes|c__CFGB1538	2|1239|	0.0017824730638739698	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.0013368547979054775	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.0009683627702776856	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.0008569582037855625	
k__Bacteria|p__Firmicutes|c__CFGB11739	2|1239|	0.0007626928013691507	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.0007369840552555837	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.000479896594119915	
k__Bacteria|p__Firmicutes|c__CFGB77241	2|1239|	0.00023137871502210188	
k__Bacteria|p__Firmicutes|c__CFGB3022	2|1239|	0.00017996122279496815	
k__Bacteria|p__Firmicutes|c__CFGB9491	2|1239|	0.00014568289464354564	
k__Bacteria|p__Firmicutes|c__CFGB1767	2|1239|	3.4278328151422505e-05	
k__Bacteria|p__Firmicutes|c__CFGB2845	2|1239|	3.4278328151422505e-05	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	20.276693729739105	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.071087783552114	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	2.961656121864942	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	2.305945982656381	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.8847767342418906	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.048822576031112	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.6017132027880328	
k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156	2|201174||	0.5980882695860198	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.4569386838404998	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.3593825619215514	
k__Bacteria|p__Bacteroidota|c__CFGB1458|o__OFGB1458	2|976||	0.260215358579486	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	0.2525370130735674	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.23062459180277062	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.22159225233487073	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	2|976||	0.21527647037297115	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.20018543640430742	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	0.19926849112625686	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.12959778915849063	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.09899581170130818	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.08676701813328822	
