#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/bdd49922-3fd4-4f93-82f7-415b8e6badee/0046444c-d268-4c23-b7f2-e42b51062c0c/TEC15T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/bdd49922-3fd4-4f93-82f7-415b8e6badee/67c2573c-d786-41d6-a92b-b6f8c18ca13b/TEC15T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/bdd49922-3fd4-4f93-82f7-415b8e6badee/7fff63f7-416b-4ddb-88cf-c69674dabe1c/metaphlan --bowtie2out TEC15T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC15T0_output.txt --vsc_out TEC15T0_virus.vsc.txt --offline
#70831848 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	15.24057	
k__Bacteria	2	84.7594335806806	
k__Bacteria|p__Firmicutes	2|1239	54.27728829479677	
k__Bacteria|p__Bacteroidota	2|976	18.154707838079556	
k__Bacteria|p__Actinobacteria	2|201174	10.02038737705843	
k__Bacteria|p__Proteobacteria	2|1224	1.195955607823403	
k__Bacteria|p__Bacillota	2|1239	1.105407104929162	
k__Bacteria|p__Bacteria_unclassified	2|	0.005687357993263667	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	15.81144853730806	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.491768217645799	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	2.3432593007714955	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.1850640206082856	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	1.105407104929162	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.684974886538912	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.6806521554262974	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.4246956178993581	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.32062798534899856	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.23379194564559128	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.22534143011759739	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.15994952711010232	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.1532450559138705	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.134877686656937	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.08629357932849091	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.04989787854894666	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0438630068780022	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.038251932374961155	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.03553963050037937	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.03225096447744896	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.028580881003405494	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.02797908902498266	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.02323256074446455	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.017189213130162022	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01488375653676751	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.0081199537370292	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.007458830155099892	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.006492572612280133	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.005687357993263667	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.0045770094133567515	
k__Bacteria|p__Firmicutes|c__CFGB9536	2|1239|	0.004187116018885621	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.0020850820660847425	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.00038141745111306265	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.00025427830074204176	
k__Bacteria|p__Firmicutes|c__CFGB9512	2|1239|	0.00022885047066783758	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	15.81144853730806	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	9.491768217645799	
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	2|976||	2.3432593007714955	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	1.1850640206082856	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	1.105407104929162	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.684974886538912	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.6806521554262974	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.4246956178993581	
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.32062798534899856	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.22534143011759739	
k__Bacteria|p__Actinobacteria|c__CFGB77988|o__OFGB77988	2|201174||	0.15994952711010232	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.1532450559138705	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.14967668376012386	
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.134877686656937	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.0841152618854674	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.05479697380991	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.04989787854894666	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.0438630068780022	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.038251932374961155	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.03553963050037937	
