#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/9781ccde-9765-4d9f-b229-852e720e859e/3d94a5fb-e806-4c11-bf58-1b41ef5511db/TEC20T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/9781ccde-9765-4d9f-b229-852e720e859e/bc1e8c39-6b59-4611-8c8d-1a5edd919746/TEC20T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/9781ccde-9765-4d9f-b229-852e720e859e/e4bf30ad-364f-44c3-9d4c-478992a59151/metaphlan --bowtie2out TEC20T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC20T0_output.txt --vsc_out TEC20T0_virus.vsc.txt --offline
#72738076 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	18.53641	
k__Bacteria	2	81.4635879221052	
k__Bacteria|p__Firmicutes	2|1239	44.34389759587754	
k__Bacteria|p__Bacteroidota	2|976	32.63723786440175	
k__Bacteria|p__Actinobacteria	2|201174	2.7865027566695697	
k__Bacteria|p__Proteobacteria	2|1224	0.9514050969834745	
k__Bacteria|p__Bacillota	2|1239	0.6503075296645814	
k__Bacteria|p__Bacteria_unclassified	2|	0.052910600355407324	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04132647815288397	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	32.63723786440175	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.708810932868258	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.6427032312694694	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.8044184724746302	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.6503075296645814	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.6254529889895472	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.3259521079939273	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.2877538316172522	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.16334264014261315	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.1300892035528098	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.1043792952045934	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.10385792824189193	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.07769182380131173	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.07453103658993405	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.05714670692735681	
