#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/6e478e0d-582f-494e-a03d-6b131aa4476f/85fc8929-1a82-4764-9405-3bcbb1318931/TEC21T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/6e478e0d-582f-494e-a03d-6b131aa4476f/be370772-4fe6-4809-b305-f63aaaf83644/TEC21T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/6e478e0d-582f-494e-a03d-6b131aa4476f/9a7508df-27a3-427f-9388-caa6dedb9d76/metaphlan --bowtie2out TEC21T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC21T0_output.txt --vsc_out TEC21T0_virus.vsc.txt --offline
#70977692 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.91022	
k__Bacteria	2	83.08978115625605	
k__Bacteria|p__Firmicutes	2|1239	55.14481823333112	
k__Bacteria|p__Bacteroidota	2|976	24.255253173965873	
k__Bacteria|p__Actinobacteria	2|201174	2.4603382739054354	
k__Bacteria|p__Proteobacteria	2|1224	0.6011296397311656	
k__Bacteria|p__Bacillota	2|1239	0.31173624094204144	
k__Bacteria|p__Verrucomicrobia	2|74201	0.23010053095601987	
k__Bacteria|p__Tenericutes	2|544448	0.046937417375169044	
k__Bacteria|p__Lentisphaerae	2|256845	0.03475645545766191	
k__Bacteria|p__Bacteria_unclassified	2|	0.0035479336553721334	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0011715659143032102	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	24.071699538413586	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	4.8410848464412926	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.5284386585411025	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	2.5228300983130554	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.7957612772833527	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.7278104542537664	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.7155131666426404	
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	1.1473203161618146	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.9913774148877534	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.6661390845078204	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.6105686388705163	
k__Bacteria|p__Firmicutes|c__CFGB1677	2|1239|	0.46875930937113414	
k__Bacteria|p__Firmicutes|c__CFGB2937	2|1239|	0.428037007626453	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.4263087401784029	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.3539375407913039	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.3529820083080069	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.31173624094204144	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.31121277532075703	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.2779353179676765	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.27174512927153543	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.26420888612066296	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.2347867946132327	
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.23010053095601987	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.23010053095601987	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.21152996486759662	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.16774165019824971	
k__Bacteria|p__Firmicutes|c__CFGB3069	2|1239|	0.1621580169045493	
k__Bacteria|p__Firmicutes|c__CFGB3041	2|1239|	0.1399231914671352	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.13984010168597893	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.13721446460144124	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.13696519525797246	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.13602628073090678	
k__Bacteria|p__Firmicutes|c__CFGB1771	2|1239|	0.12035554800483689	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.10055525315530107	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.09879374979478844	
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.09671650526588205	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.0916397196372348	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.08319779787175918	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.08038105429056211	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.0782705738491932	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.058146228853147984	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.05715746045738854	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.055545518702957174	
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	0.052122219719319414	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.05074292935212557	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.04822530898309101	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.046937417375169044	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	0.04658013131619714	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.042957416857784377	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.039999420648621664	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.03475645545766191	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.034515495092308765	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.02966305187278341	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.025932320698867514	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.025890775808289385	
k__Bacteria|p__Actinobacteria|c__CFGB2801	2|201174|	0.02107987747934216	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.019376536965638912	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.018986014994204506	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.016925388421529356	
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.011807057902303984	
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.011790439946072732	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.011782130967957107	
k__Bacteria|p__Firmicutes|c__CFGB77220	2|1239|	0.011217120456094567	
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.01111741271870706	
k__Bacteria|p__Firmicutes|c__CFGB2959	2|1239|	0.010884761331469543	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.009954155782519474	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.009513779942391318	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.008682882130828757	
