#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan /beegfs/home/scontald/sf_tmp/056c83de-3043-4bdf-9c1d-f029d6db2433/70c6347b-de40-4aa7-a10d-ae9f55d00d01/TEC30T0_chm13v2.0_unmapped_R1.fastq.gz,/beegfs/home/scontald/sf_tmp/056c83de-3043-4bdf-9c1d-f029d6db2433/e9df6ab3-d120-48e5-9798-54fa86ff1c4b/TEC30T0_chm13v2.0_unmapped_R2.fastq.gz --input_type fastq --profile_vsc --bowtie2db /beegfs/home/scontald/sf_tmp/056c83de-3043-4bdf-9c1d-f029d6db2433/d7b84e35-2773-4974-b508-56f5881d852f/metaphlan --bowtie2out TEC30T0.bowtie2.bz2 --nproc 30 --unclassified_estimation -o TEC30T0_output.txt --vsc_out TEC30T0_virus.vsc.txt --offline
#60456480 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	12.19987	
k__Bacteria	2	87.8001286150443	
k__Bacteria|p__Bacteroidota	2|976	58.679565317446894	
k__Bacteria|p__Firmicutes	2|1239	26.22411607470285	
k__Bacteria|p__Proteobacteria	2|1224	2.1632459088560463	
k__Bacteria|p__Actinobacteria	2|201174	0.6890641893837292	
k__Bacteria|p__Bacillota	2|1239	0.041072900166117726	
k__Bacteria|p__Bacteria_unclassified	2|	0.0016418624051013284	
k__Bacteria|p__Fusobacteria	2|32066	0.001431142096425222	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	58.61467224238751	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.7021723134470024	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.696052644482534	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.5304269170020671	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.45341742419381176	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.15863727238166206	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0933403167306536	
k__Bacteria|p__Bacteroidota|c__CFGB602	2|976|	0.06489307505937925	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.041072900166117726	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03561173216626197	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.01998330927278408	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.013468539729547795	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.0016418624051013284	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.001431142096425222	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.00029852043729115065	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	58.61467224238751	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.696052644482534	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.1419899328572967	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.5600243403581986	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.5304269170020671	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.37464314880039407	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.13411469645948018	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.0933403167306536	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.07877427539341775	
k__Bacteria|p__Bacteroidota|c__CFGB602|o__OFGB602	2|976||	0.06489307505937925	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.041072900166117726	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.03561173216626197	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.024522575922181874	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.01998330927278408	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.013468539729547795	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	0.0016418624051013284	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.001431142096425222	
