Depth	Taxa_id	Taxonomic_Tree	metaphlan_mean
Kingdom	2157	Archaea	0.003545877683212835
Phylum	256845	Bacteria|Lentisphaerae	0.0007731000209438274
Phylum	28890	Archaea|Euryarchaeota	0.003473246103397499
Phylum	95818	Bacteria|Candidatus_Saccharibacteria	2.067763178289558e-05
Class	1313211	Bacteria|Lentisphaerae|Lentisphaeria	0.0005757631765340195
Class	183925	Archaea|Euryarchaeota|Methanobacteria	0.003473246103397499
Class	28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.0026981868421956322
Order	2508939	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales	0.00012966447669455992
Order	278082	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales	0.0005757631765340195
Order	2158	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0.003473246103397499
Family	538999	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis	0.01766443695162378
Family	2508947	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales|Candidatus_Borkfalkiaceae	0.00012966447669455992
Family	255528	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae	0.0005757631765340195
Family	2159	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae	0.003473246103397499
Family	171551	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae	7.473026477148115e-05
Genus	2527773	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis|Candidatus_Cibionibacter	0.01766443695162378
Genus	2981631	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Brotolimicola	0.002288110537259798
Genus	2494213	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Mesosutterella	0.0003005513080089686
Genus	1407607	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Fusicatenibacter	0.017467539480236948
Genus	2719231	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lacrimispora	0.001071789477329999
Genus	2005359	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Faecalicatena	0.002053656592167161
Genus	204475	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Gemmiger	0.015810847441164247
