Sample	Taxa_id	Taxonomic_Tree	Kraken_Quantity
AMCTRL15	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.8393606856364E-05
BLANK	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	0.00180301832662406
HV01	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.07893976462313E-05
HV02	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.85189202517092E-05
HV04	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.68981079580675E-05
HV06	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	4.17026562696469E-05
HV08	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	5.13562063143786E-05
HV09	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.74584347823872E-05
HV10	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.03574232122954E-05
HV11	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.52564707096209E-05
HV12	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.96677767882135E-05
HV13	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.96229911083684E-05
HV14	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.58955841867758E-05
MAV02T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.76740362421319E-05
MAV05T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.92663298078883E-05
MAV10T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.56700333757335E-05
MAV11T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.23204138144279E-05
MAV13T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.23978663571543E-05
MAV14T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	8.63188346464072E-06
MAV18T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.6323694191913E-05
